Nombre espacio, Area(m2)
"P02_E01", 64.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 0, 3.250, 1.040, 0.000, 0.000, 0.968, 3.089, 0.555, 3.447, -12.349, 0.000, -0.000, 17.90
1, 0, -2.354, 0.566, 0.000, 0.000, -0.614, -1.955, 0.520, 3.263, -7.839, 8.412, -0.000, 17.34
1, 1, -1.589, 0.515, 0.000, 0.000, -0.394, -1.253, 0.489, 3.160, -6.526, 5.070, -0.529, 17.00
1, 1, -1.928, 0.502, 0.000, 0.000, -0.475, -1.513, 0.460, 3.093, -6.526, 0.000, -6.388, 17.00
1, 1, -2.300, 0.509, 0.000, 0.000, -0.576, -1.835, 0.434, 3.043, -6.891, 0.000, -7.614, 17.00
1, 1, -2.541, 0.495, 0.000, 0.000, -0.639, -2.035, 0.410, 3.004, -6.891, 0.000, -8.196, 17.00
1, 1, -2.844, 0.501, 0.000, 0.000, -0.728, -2.324, 0.388, 2.971, -7.257, 0.000, -9.292, 17.00
1, 1, -10.584, 0.302, 0.000, 0.000, -2.725, -8.697, 0.368, 3.016, -9.159, -45.000, -72.478, 20.00
1, 1, -10.094, 0.309, 0.000, 0.000, -2.604, -8.298, 0.439, 2.997, -9.159, 0.000, -26.409, 20.00
1, 1, -9.768, 0.285, 0.000, 0.000, -2.407, -7.542, 1.149, 2.979, -8.421, 0.000, -23.725, 20.00
1, 1, -9.497, 0.259, 0.000, 0.000, -2.181, -6.490, 3.128, 2.961, -7.688, 0.000, -19.509, 20.00
1, 1, -9.411, 0.255, 0.000, 0.000, -2.178, -6.640, 2.165, 2.945, -7.688, 0.000, -20.553, 20.00
1, 1, -9.281, 0.240, 0.000, 0.000, -2.074, -6.234, 2.596, 2.930, -7.324, 0.000, -19.148, 20.00
1, 1, -9.173, 0.224, 0.000, 0.000, -1.986, -5.910, 2.874, 2.916, -6.962, 0.000, -18.018, 20.00
1, 1, -9.018, 0.210, 0.000, 0.000, -1.839, -5.160, 4.846, 2.903, -6.601, 0.000, -14.659, 20.00
1, 1, -9.003, 0.205, 0.000, 0.000, -1.846, -5.299, 3.948, 3.165, -6.601, 0.000, -15.430, 20.00
1, 1, -9.080, 0.211, 0.000, 0.000, -1.965, -5.957, 2.156, 3.179, -6.962, 0.000, -18.417, 20.00
1, 1, -9.128, 0.217, 0.000, 0.000, -2.050, -6.361, 1.346, 3.184, -7.324, 0.000, -20.116, 20.00
1, 1, -9.128, 0.212, 0.000, 0.000, -2.069, -6.480, 0.987, 4.080, -7.324, 0.000, -19.722, 20.00
1, 1, -9.153, 0.218, 0.000, 0.000, -2.119, -6.663, 0.855, 6.395, -7.688, 0.000, -18.155, 20.00
1, 1, -9.147, 0.212, 0.000, 0.000, -2.126, -6.701, 0.768, 6.646, -7.688, 0.000, -18.036, 20.00
1, 1, -9.170, 0.217, 0.000, 0.000, -2.175, -6.873, 0.702, 6.806, -8.054, 0.000, -18.547, 20.00
1, 1, -9.164, 0.212, 0.000, 0.000, -2.185, -6.912, 0.649, 6.923, -8.054, 0.000, -18.531, 20.00
1, 0, -6.599, 0.258, 0.000, 0.000, -1.607, -5.092, 0.604, 5.329, -7.793, 14.900, 0.000, 19.01
1, 0, -4.676, 0.280, 0.000, 0.000, -1.146, -3.634, 0.565, 3.469, -7.271, 12.412, 0.000, 18.18
1, 0, -3.365, 0.306, 0.000, 0.000, -0.842, -2.676, 0.530, 3.285, -7.216, 9.978, -0.000, 17.51
1, 1, -2.424, 0.312, 0.000, 0.000, -0.611, -1.943, 0.498, 3.181, -6.891, 7.709, -0.168, 17.00
1, 1, -2.889, 0.311, 0.000, 0.000, -0.744, -2.370, 0.469, 3.113, -7.257, 0.000, -9.367, 17.00
1, 1, -3.172, 0.298, 0.000, 0.000, -0.823, -2.622, 0.443, 3.064, -7.257, 0.000, -10.070, 17.00
1, 1, -3.479, 0.298, 0.000, 0.000, -0.923, -2.942, 0.419, 3.024, -7.624, 0.000, -11.226, 17.00
1, 1, -3.680, 0.287, 0.000, 0.000, -0.983, -3.137, 0.397, 2.991, -7.624, 0.000, -11.750, 17.00
1, 1, -11.273, 0.173, 0.000, 0.000, -3.077, -9.827, 0.377, 3.035, -9.903, -45.000, -75.495, 20.00
1, 1, -10.774, 0.177, 0.000, 0.000, -2.959, -9.446, 0.403, 3.016, -9.903, 0.000, -29.486, 20.00
1, 1, -10.486, 0.169, 0.000, 0.000, -2.824, -8.931, 0.838, 2.997, -9.530, 0.000, -27.766, 20.00
1, 1, -10.292, 0.161, 0.000, 0.000, -2.699, -8.421, 1.427, 2.978, -9.159, 0.000, -26.005, 20.00
1, 1, -10.099, 0.145, 0.000, 0.000, -2.450, -7.147, 4.114, 2.962, -8.421, 0.000, -20.895, 20.00
1, 1, -9.978, 0.136, 0.000, 0.000, -2.360, -6.892, 3.943, 2.946, -8.054, 0.000, -20.258, 20.00
1, 1, -9.894, 0.127, 0.000, 0.000, -2.329, -6.971, 2.887, 2.932, -7.688, 0.000, -20.937, 20.00
1, 1, -9.875, 0.131, 0.000, 0.000, -2.414, -7.446, 1.759, 2.919, -8.054, 0.000, -22.980, 20.00
1, 1, -9.855, 0.134, 0.000, 0.000, -2.471, -7.703, 1.351, 3.180, -8.421, 0.000, -23.785, 20.00
1, 1, -9.818, 0.131, 0.000, 0.000, -2.464, -7.686, 1.335, 3.194, -8.421, 0.000, -23.729, 20.00
1, 1, -9.816, 0.134, 0.000, 0.000, -2.525, -7.947, 0.975, 3.199, -8.789, 0.000, -24.769, 20.00
1, 1, -9.798, 0.131, 0.000, 0.000, -2.540, -8.040, 0.721, 4.094, -8.789, 0.000, -24.220, 20.00
1, 1, -9.780, 0.128, 0.000, 0.000, -2.541, -8.058, 0.645, 6.409, -8.789, 0.000, -21.986, 20.00
1, 1, -9.786, 0.131, 0.000, 0.000, -2.587, -8.220, 0.591, 6.660, -9.159, 0.000, -22.370, 20.00
1, 1, -9.773, 0.128, 0.000, 0.000, -2.593, -8.246, 0.549, 6.819, -9.159, 0.000, -22.275, 20.00
1, 1, -9.762, 0.125, 0.000, 0.000, -2.596, -8.262, 0.513, 6.936, -9.159, 0.000, -22.205, 20.00
1, 0, -6.916, 0.149, 0.000, 0.000, -1.842, -5.868, 0.482, 5.341, -8.436, 17.090, 0.000, 18.86
1, 0, -4.836, 0.165, 0.000, 0.000, -1.291, -4.113, 0.455, 3.482, -7.845, 13.984, -0.000, 17.93
1, 0, -3.411, 0.173, 0.000, 0.000, -0.912, -2.908, 0.430, 3.297, -7.392, 10.723, 0.000, 17.21
1, 1, -3.269, 0.170, 0.000, 0.000, -0.875, -2.792, 0.407, 3.193, -7.257, 3.202, -7.222, 17.00
1, 1, -3.664, 0.169, 0.000, 0.000, -0.998, -3.185, 0.386, 3.125, -7.624, 0.000, -11.791, 17.00
1, 1, -3.916, 0.163, 0.000, 0.000, -1.070, -3.417, 0.367, 3.075, -7.624, 0.000, -12.422, 17.00
1, 1, -4.124, 0.157, 0.000, 0.000, -1.129, -3.608, 0.349, 3.035, -7.624, 0.000, -12.944, 17.00
1, 1, -4.306, 0.151, 0.000, 0.000, -1.181, -3.774, 0.333, 3.001, -7.624, 0.000, -13.399, 17.00
1, 1, -11.811, 0.086, 0.000, 0.000, -3.243, -10.370, 0.318, 3.045, -9.530, -45.000, -76.504, 20.00
1, 1, -11.320, 0.088, 0.000, 0.000, -3.108, -9.934, 0.349, 3.026, -9.530, 0.000, -30.429, 20.00
