ProyectoEdificio, c:\proyectoscteycee\ctehe2019\proyectos\ejemplo1_2526\newbdl_ds.xml, zonaE1.bin

CALDERA, SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
tipoCombustible, Biomasa no densificada
demandaACS, 110265.77 ,100237.59 ,107880.586 ,102877.914 ,103040.0 ,98690.52 ,92911.67 ,98011.38 ,96073.44 ,100832.29 ,105514.836 ,110764.234 ,
demandaCAL, 1202092.9 ,956362.06 ,814747.2 ,560067.44 ,309652.25 ,0.0 ,0.0 ,0.0 ,0.0 ,291449.44 ,829074.1 ,1209495.8 ,
consumoElectricidad, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoCombustible, 1863152.9 ,1498352.6 ,1301708.4 ,926887.06 ,561504.1 ,106118.83 ,99905.02 ,105388.56 ,103304.76 ,531540.0 ,1320972.8 ,1874617.5 ,
nhFunciona, 702 ,601 ,596 ,505 ,321 ,41 ,39 ,41 ,40 ,331 ,583 ,687 ,
nhCortaACS, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaCAL, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinCALDERA
  
ESPACIO   , P02_E01
nhFuncionaRef ,0 ,0 ,0 ,0 ,0 ,480 ,496 ,496 ,480 ,0 ,0 ,0
nhFuncionaCal ,744 ,672 ,744 ,720 ,744 ,0 ,0 ,0 ,0 ,744 ,720 ,744
nhCortaRef ,0 ,0 ,0 ,0 ,0 ,3 ,57 ,49 ,25 ,0 ,0 ,0
nhCortaCal ,29 ,28 ,25 ,20 ,9 ,0 ,0 ,0 ,0 ,3 ,23 ,31
QRefSen ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
QCalSen ,1202092.9 ,956362.0 ,814747.2 ,560067.44 ,309652.25 ,0.0 ,0.0 ,0.0 ,0.0 ,291449.5 ,829074.25 ,1209495.8
QRefNoCubierta ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1210.1543 ,42590.69 ,34352.47 ,15001.732 ,0.0 ,0.0 ,0.0
QCalNoCubierta ,33571.727 ,29755.871 ,22733.383 ,12861.889 ,4618.0117 ,0.0 ,0.0 ,0.0 ,0.0 ,1410.813 ,18529.816 ,34041.918
FinESPACIO
  
DEMANDA_ACS   , SIS2_ACS1_Demanda_de_ACS
nhFunciona ,620 ,560 ,620 ,600 ,620 ,600 ,620 ,620 ,600 ,620 ,600 ,620
nhCorta ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
Q ,77523.78 ,68655.625 ,74499.68 ,71160.18 ,70508.89 ,63845.484 ,61438.184 ,62949.824 ,63845.484 ,68452.82 ,72096.45 ,77523.78
QNoCubierta ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
FinDEMANDA_ACS
  
