hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.50, 18.50, -1947.28, 20.00, 4.63, -1.11, -2.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.09, 18.09, -1576.75, 20.00, 4.63, 5.00, 3.41, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.84, 17.84, -1471.92, 20.00, 4.63, 6.67, 5.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.62, 17.62, -1474.03, 20.00, 4.63, 6.67, 5.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.40, 17.40, -1514.75, 20.00, 4.63, 6.11, 4.55, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.21, 17.21, -1519.41, 20.00, 4.63, 6.11, 4.55, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.02, 17.02, -1560.10, 20.00, 4.63, 5.56, 4.02, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1556.72, 20.00, 4.63, 5.56, 4.02, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1546.52, 20.00, 4.63, 5.56, 4.02, 0.00, 1.95, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1371.62, 20.00, 4.63, 6.67, 5.13, 0.00, 17.51, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -1054.19, 20.00, 4.63, 7.78, 6.23, 0.00, 34.84, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -1164.17, 20.00, 4.63, 7.78, 6.27, 0.00, 25.48, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -1054.19, 20.00, 4.63, 8.33, 6.80, 0.00, 38.72, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -973.61, 20.00, 4.63, 8.89, 7.34, 0.01, 42.60, 87.57, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -696.30, 20.00, 4.63, 9.44, 7.91, 7.29, 54.86, 73.80, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -773.89, 20.00, 4.63, 9.44, 7.91, 14.09, 42.18, 60.23, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -1041.95, 20.00, 4.63, 8.89, 7.38, 0.00, 17.51, 47.14, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -1181.86, 20.00, 4.63, 8.33, 6.80, 0.00, 3.89, 35.17, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -1155.84, 20.00, 4.63, 8.33, 6.80, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1029.11, 20.00, 4.63, 7.78, 6.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1023.60, 20.00, 4.63, 7.78, 6.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1057.65, 20.00, 4.63, 7.22, 5.70, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1057.52, 20.00, 4.63, 7.22, 5.66, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.39, 19.39, -1224.11, 20.00, 4.63, 6.67, 5.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.83, 18.83, -1373.15, 20.00, 4.63, 6.67, 5.09, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.36, 18.36, -1427.18, 20.00, 4.63, 6.11, 4.55, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.98, 17.98, -1440.00, 20.00, 4.63, 6.11, 4.55, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
