CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa no densificada,Biomasa no densificada,Biomasa no densificada
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 13.16 ,  8.77 
 0.00 , 512.79 , 343.27 
 0.00 , 572.48 , 383.47 
 0.00 , 676.18 , 453.43 
 0.00 , 6282.13 , 4480.00 
 0.00 , 2280.23 , 1555.64 
 0.00 , 2044.66 , 1391.37 
 0.00 , 1673.38 , 1134.17 
 0.00 , 1766.48 , 1198.48 
 0.00 , 1645.19 , 1114.73 
 0.00 , 1547.09 , 1047.15 
 0.00 , 1244.09 , 839.33 
 0.00 , 1314.51 , 887.51 
2524.24 , 1578.90 , 3418.48 
 0.00 , 1730.43 , 1173.56 
 0.00 , 1690.95 , 1146.29 
 0.00 , 1540.57 , 1042.67 
 0.00 , 1528.20 , 1034.16 
 0.00 , 1571.76 , 1064.13 
 0.00 , 1568.92 , 1062.18 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 303.37 , 202.63 
 0.00 , 744.64 , 499.70 
 0.00 , 854.05 , 573.80 
 0.00 , 904.61 , 608.09 
 0.00 , 6282.13 , 4480.00 
 0.00 , 2574.28 , 1761.86 
2621.25 , 2407.14 , 4086.90 
 0.00 , 2256.00 , 1538.70 
 0.00 , 1803.36 , 1223.98 
 0.00 , 1748.39 , 1185.97 
 0.00 , 1809.80 , 1228.44 
 0.00 , 1987.45 , 1351.61 
 0.00 , 2054.98 , 1398.55 
 0.00 , 2049.04 , 1394.42 
 0.00 , 2138.14 , 1456.46 
 0.00 , 2084.31 , 1418.96 
 0.00 , 1876.18 , 1274.40 
 0.00 , 1907.22 , 1295.92 
 0.00 , 1896.71 , 1288.63 
 0.00 , 1888.87 , 1283.20 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 112.12 , 74.74 
 0.00 , 898.38 , 603.86 
 0.00 , 960.43 , 646.00 
 0.00 , 1011.07 , 680.43 
 0.00 , 1054.89 , 710.25 
 0.00 , 6282.13 , 4480.00 
 0.00 , 2666.19 , 1826.58 
 0.00 , 2516.12 , 1720.96 
 0.00 , 2305.46 , 1573.28 
 0.00 , 1594.10 , 1079.52 
 0.00 , 1583.98 , 1072.55 
 0.00 , 1758.37 , 1192.87 
 0.00 , 1634.51 , 1107.37 
 0.00 , 1660.63 , 1125.38 
2524.24 , 1861.57 , 3614.46 
 0.00 , 1989.77 , 1353.22 
 0.00 , 1987.92 , 1351.93 
 0.00 , 1783.73 , 1210.40 
 0.00 , 1815.85 , 1232.63 
 0.00 , 1856.29 , 1260.62 
 0.00 , 1849.96 , 1256.24 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 439.13 , 293.73 
 0.00 , 1184.28 , 798.47 
 0.00 , 1355.54 , 915.62 
 0.00 , 1464.92 , 990.66 
 0.00 , 1619.70 , 1097.16 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3371.93 , 2327.94 
2621.25 , 2977.71 , 4491.92 
 0.00 , 1053.43 , 709.26 
 0.00 , 569.87 , 381.71 
 0.00 , 192.53 , 128.44 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 177.71 , 118.54 
 0.00 , 1537.68 , 1040.68 
 0.00 , 1780.46 , 1208.14 
 0.00 , 1715.00 , 1162.90 
 0.00 , 1800.72 , 1222.16 
 0.00 , 1930.27 , 1311.91 
 0.00 , 2006.30 , 1364.71 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1024.96 , 689.88 
 0.00 , 1405.69 , 950.00 
 0.00 , 1532.69 , 1037.25 
 0.00 , 1649.16 , 1117.46 
 0.00 , 1758.98 , 1193.29 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3504.32 , 2422.86 
 0.00 , 2503.18 , 1711.87 
 0.00 , 1735.69 , 1177.19 
 0.00 , 1067.22 , 718.65 
 0.00 , 433.96 , 290.26 
 0.00 ,  0.51 ,  0.34 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
2524.24 , 121.81 , 2428.76 
 0.00 , 1623.58 , 1099.83 
 0.00 , 1878.38 , 1275.93 
 0.00 , 1791.16 , 1215.54 
 0.00 , 1877.35 , 1275.22 
 0.00 , 1956.99 , 1330.46 
 0.00 , 2032.09 , 1382.64 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1245.16 , 840.07 
 0.00 , 1497.63 , 1013.14 
 0.00 , 1624.75 , 1100.63 
 0.00 , 1741.72 , 1181.36 
 0.00 , 1851.86 , 1257.56 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3529.91 , 2441.24 
2621.25 , 2272.19 , 3991.91 
 0.00 , 1317.97 , 889.88 
 0.00 , 634.57 , 425.34 
 0.00 , 139.23 , 92.84 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 151.04 , 100.72 
 0.00 , 1663.91 , 1127.64 
 0.00 , 1921.06 , 1305.52 
 0.00 , 1841.40 , 1250.31 
 0.00 , 1879.40 , 1276.64 
 0.00 , 1960.00 , 1332.54 
 0.00 , 2036.53 , 1385.72 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  3.50 ,  2.33 
 0.00 , 1216.59 , 820.54 
 0.00 , 1405.98 , 950.20 
 0.00 , 1531.48 , 1036.41 
 0.00 , 1647.58 , 1116.38 
 0.00 , 1757.81 , 1192.48 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3370.81 , 2327.14 
 0.00 , 1951.15 , 1326.40 
 0.00 , 1181.97 , 796.90 
 0.00 , 1410.77 , 953.49 
 0.00 , 1650.21 , 1118.19 
 0.00 , 1766.84 , 1198.72 
 0.00 , 1396.93 , 944.00 
 0.00 , 975.06 , 655.94 
2524.24 , 1081.58 , 3076.84 
 0.00 , 2025.16 , 1377.82 
 0.00 , 2180.97 , 1486.32 
 0.00 , 2061.24 , 1402.91 
 0.00 , 2074.17 , 1411.91 
 0.00 , 2135.10 , 1454.34 
 0.00 , 2144.55 , 1460.92 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 89.48 , 59.63 
 0.00 , 1275.49 , 860.81 
 0.00 , 1405.54 , 949.90 
 0.00 , 1469.63 , 993.90 
 0.00 , 1575.96 , 1067.03 
 0.00 , 1625.28 , 1101.00 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3280.21 , 2262.35 
2621.25 , 3195.77 , 4648.19 
 0.00 , 3112.03 , 2142.41 
 0.00 , 3069.45 , 2112.12 
 0.00 , 3033.20 , 2086.34 
 0.00 , 2921.03 , 2006.73 
