Nombre espacio, Area(m2)
"P02_E01", 64.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 0, 4.714, 0.000, 0.000, 0.000, 0.814, 3.731, 0.569, 3.492, -13.320, 0.000, -0.000, 18.09
1, 0, -1.545, -0.000, 0.000, 0.000, -0.234, -1.070, 0.533, 3.306, -8.540, 7.549, 0.000, 17.59
1, 0, -0.789, -0.000, 0.000, 0.000, -0.114, -0.519, 0.501, 3.201, -7.146, 4.865, -0.000, 17.26
1, 1, -0.394, -0.000, 0.000, 0.000, -0.056, -0.258, 0.472, 3.133, -6.969, 3.936, -0.137, 17.00
1, 1, -0.847, -0.000, 0.000, 0.000, -0.123, -0.564, 0.445, 3.083, -7.358, 0.000, -5.364, 17.00
1, 1, -1.157, -0.000, 0.000, 0.000, -0.169, -0.772, 0.421, 3.043, -7.358, 0.000, -5.992, 17.00
1, 1, -1.500, -0.000, 0.000, 0.000, -0.223, -1.022, 0.399, 3.010, -7.749, 0.000, -7.085, 17.00
1, 1, -10.356, -0.000, 0.000, 0.000, -1.547, -7.095, 0.378, 3.055, -9.780, -45.000, -70.346, 20.00
1, 1, -9.798, -0.000, 0.000, 0.000, -1.467, -6.717, 0.449, 3.035, -9.780, 0.000, -24.278, 20.00
1, 1, -9.460, -0.000, 0.000, 0.000, -1.354, -6.097, 1.164, 3.016, -8.992, 0.000, -21.723, 20.00
1, 1, -9.186, -0.000, 0.000, 0.000, -1.226, -5.239, 3.155, 2.998, -8.210, 0.000, -17.709, 20.00
1, 1, -9.096, -0.000, 0.000, 0.000, -1.224, -5.356, 2.188, 2.982, -8.210, 0.000, -18.716, 20.00
1, 1, -8.973, -0.000, 0.000, 0.000, -1.167, -5.038, 2.624, 2.966, -7.822, 0.000, -17.409, 20.00
