hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.09, 18.09, -2312.09, 20.00, 4.63, -1.11, -3.24, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.59, 17.59, -1953.73, 20.00, 4.63, 5.00, 3.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.26, 17.26, -1855.76, 20.00, 4.63, 6.67, 4.75, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1858.71, 20.00, 4.63, 6.67, 4.75, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1897.19, 20.00, 4.63, 6.11, 4.18, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1901.76, 20.00, 4.63, 6.11, 4.18, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1940.92, 20.00, 4.63, 5.56, 3.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1934.62, 20.00, 4.63, 5.56, 3.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1930.02, 20.00, 4.63, 5.56, 3.65, 0.00, 2.11, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1798.73, 20.00, 4.63, 6.67, 4.75, 0.00, 19.00, 51.68, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -1560.28, 20.00, 4.63, 7.78, 5.86, 36.56, 37.48, 42.28, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -1636.50, 20.00, 4.63, 7.78, 5.90, 11.07, 27.53, 33.97, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -1561.04, 20.00, 4.63, 8.33, 6.43, 2.39, 41.99, 28.05, -12.58, 64.72, 0, 0
