hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 14.97, 14.97, -518.97, 20.00, 4.63, -1.11, -12.68, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.02, 15.02, -502.77, 20.00, 4.63, 5.00, -5.73, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.02, 15.02, -497.18, 20.00, 4.63, 6.67, -3.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.98, 14.98, -497.04, 20.00, 4.63, 6.67, -3.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.93, 14.93, -499.26, 20.00, 4.63, 6.11, -4.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.89, 14.89, -500.02, 20.00, 4.63, 6.11, -4.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.84, 14.84, -502.38, 20.00, 4.63, 5.56, -4.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.80, 14.80, -503.11, 20.00, 4.63, 5.56, -4.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.76, 14.76, -503.29, 20.00, 4.63, 5.56, -4.82, 0.00, 5.88, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.76, 14.76, -497.01, 20.00, 4.63, 6.67, -3.74, 0.00, 52.89, 60.00, -51.34, 83.01, 0, 0
2.00, 5.70, 14.78, 14.78, -488.56, 20.00, 4.63, 7.78, -2.67, 40.97, 97.36, 46.87, -39.97, 74.87, 0, 0
2.00, 5.70, 14.74, 14.74, -490.46, 20.00, 4.63, 7.78, -2.42, 12.95, 74.07, 34.82, -27.02, 68.58, 0, 0
2.00, 5.70, 14.73, 14.73, -486.10, 20.00, 4.63, 8.33, -2.00, 2.85, 116.31, 25.51, -12.58, 64.72, 0, 0
2.00, 5.70, 14.72, 14.72, -482.87, 20.00, 4.63, 8.89, -1.58, 2.91, 128.02, 22.65, 2.71, 63.74, 0, 0
2.00, 5.70, 14.72, 14.72, -476.20, 20.00, 4.63, 9.44, -0.91, 86.11, 145.49, 28.29, 17.81, 65.77, 0, 0
2.00, 5.70, 14.69, 14.69, -477.59, 20.00, 4.63, 9.44, -0.91, 44.20, 117.88, 38.88, 31.77, 70.55, 0, 0
2.00, 5.70, 14.62, 14.62, -484.09, 20.00, 4.63, 8.89, -1.34, 0.00, 52.89, 51.42, 44.15, 77.56, 0, 0
2.00, 5.70, 14.56, 14.56, -488.06, 20.00, 4.63, 8.33, -2.00, 0.00, 11.75, 64.76, 55.01, 86.22, 0, 0
2.00, 5.70, 14.53, 14.53, -488.16, 20.00, 4.63, 8.33, -2.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.49, 14.49, -488.99, 20.00, 4.63, 7.78, -2.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.46, 14.46, -488.16, 20.00, 4.63, 7.78, -2.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.42, 14.42, -489.10, 20.00, 4.63, 7.22, -3.08, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.39, 14.39, -488.76, 20.00, 4.63, 7.22, -3.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.35, 14.35, -490.11, 20.00, 4.63, 6.67, -3.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.31, 14.31, -490.13, 20.00, 4.63, 6.67, -4.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.27, 14.27, -491.80, 20.00, 4.63, 6.11, -4.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.24, 14.24, -492.00, 20.00, 4.63, 6.11, -4.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.19, 14.19, -494.01, 20.00, 4.63, 5.56, -5.06, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.16, 14.16, -494.45, 20.00, 4.63, 5.56, -5.06, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.11, 14.11, -496.60, 20.00, 4.63, 5.00, -5.47, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.07, 14.07, -497.37, 20.00, 4.63, 5.00, -5.73, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.03, 14.03, -499.75, 20.00, 4.63, 4.44, -6.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.99, 13.99, -500.44, 20.00, 4.63, 4.44, -6.13, 0.00, 2.94, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.97, 13.97, -497.45, 20.00, 4.63, 5.00, -5.47, 0.00, 32.32, 60.09, -51.47, 83.01, 0, 0
2.00, 5.70, 13.96, 13.96, -493.70, 20.00, 4.63, 5.56, -4.82, 0.00, 67.58, 46.94, -40.11, 74.86, 0, 0
2.00, 5.70, 13.99, 13.99, -483.54, 20.00, 4.63, 6.67, -3.74, 69.89, 133.13, 34.86, -27.16, 68.55, 0, 0
2.00, 5.70, 13.98, 13.98, -481.06, 20.00, 4.63, 7.22, -3.08, 37.02, 151.44, 25.49, -12.71, 64.66, 0, 0
2.00, 5.70, 13.94, 13.94, -482.67, 20.00, 4.63, 7.78, -2.67, 2.91, 113.32, 22.56, 2.60, 63.65, 0, 0
2.00, 5.70, 13.88, 13.88, -489.12, 20.00, 4.63, 7.22, -3.08, 0.00, 44.08, 28.16, 17.73, 65.67, 0, 0
2.00, 5.70, 13.82, 13.82, -492.47, 20.00, 4.63, 6.67, -3.74, 0.00, 26.45, 38.75, 31.71, 70.43, 0, 0
2.00, 5.70, 13.79, 13.79, -492.16, 20.00, 4.63, 6.67, -3.74, 0.00, 32.32, 51.30, 44.11, 77.43, 0, 0
2.00, 5.70, 13.75, 13.75, -495.02, 20.00, 4.63, 6.11, -4.16, 0.00, 11.75, 64.64, 54.99, 86.09, 0, 0
2.00, 5.70, 13.71, 13.71, -495.96, 20.00, 4.63, 6.11, -4.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.68, 13.68, -496.04, 20.00, 4.63, 6.11, -4.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.63, 13.63, -497.88, 20.00, 4.63, 5.56, -4.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.60, 13.60, -498.28, 20.00, 4.63, 5.56, -4.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.57, 13.57, -498.71, 20.00, 4.63, 5.56, -4.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.53, 13.53, -499.20, 20.00, 4.63, 5.56, -4.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.50, 13.50, -499.76, 20.00, 4.63, 5.56, -4.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.46, 13.46, -500.48, 20.00, 4.63, 5.56, -5.06, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.43, 13.43, -501.14, 20.00, 4.63, 5.56, -5.06, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.38, 13.38, -503.55, 20.00, 4.63, 5.00, -5.47, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.35, 13.35, -504.43, 20.00, 4.63, 5.00, -5.47, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.31, 13.31, -505.25, 20.00, 4.63, 5.00, -5.47, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.27, 13.27, -506.06, 20.00, 4.63, 5.00, -5.47, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.24, 13.24, -506.89, 20.00, 4.63, 5.00, -5.47, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.20, 13.20, -507.55, 20.00, 4.63, 5.00, -5.47, 0.00, 2.94, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 13.19, 13.19, -505.26, 20.00, 4.63, 5.56, -5.06, 0.00, 23.51, 60.17, -51.61, 83.01, 0, 0
2.00, 5.70, 13.19, 13.19, -500.05, 20.00, 4.63, 6.11, -4.40, 4.30, 77.83, 47.00, -40.24, 74.84, 0, 0
2.00, 5.70, 13.24, 13.24, -485.65, 20.00, 4.63, 7.78, -2.67, 152.67, 137.45, 34.89, -27.29, 68.50, 0, 0
2.00, 5.70, 13.24, 13.24, -482.44, 20.00, 4.63, 8.89, -1.58, 79.75, 153.41, 25.47, -12.84, 64.59, 0, 0
2.00, 5.70, 13.20, 13.20, -485.51, 20.00, 4.63, 8.89, -1.58, 2.92, 130.95, 22.46, 2.49, 63.56, 0, 0
2.00, 5.70, 13.19, 13.19, -481.92, 20.00, 4.63, 9.44, -1.17, 19.49, 144.44, 28.03, 17.64, 65.56, 0, 0
2.00, 5.70, 13.16, 13.16, -483.06, 20.00, 4.63, 9.44, -1.17, 12.32, 112.68, 38.62, 31.65, 70.31, 0, 0
2.00, 5.70, 13.10, 13.10, -489.03, 20.00, 4.63, 8.89, -1.85, 0.00, 41.14, 51.18, 44.08, 77.30, 0, 0
2.00, 5.70, 13.05, 13.05, -492.35, 20.00, 4.63, 8.33, -2.52, 0.00, 8.82, 64.53, 54.97, 85.96, 0, 0
2.00, 5.70, 13.01, 13.01, -493.90, 20.00, 4.63, 7.78, -2.92, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.99, 12.99, -493.19, 20.00, 4.63, 7.78, -3.20, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.95, 12.95, -494.03, 20.00, 4.63, 7.22, -3.60, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.92, 12.92, -495.30, 20.00, 4.63, 6.67, -4.27, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
