ProyectoEdificio, c:\proyectoscteycee\ctehe2019\proyectos\ejemplo2_2526_config1\newbdl_ds.xml, zonaE1.bin

CALDERA, SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
tipoCombustible, Biomasa no densificada
demandaACS, 116303.95 ,105356.03 ,114540.12 ,107899.555 ,107220.26 ,101367.195 ,98074.555 ,98831.23 ,101386.695 ,108746.414 ,109625.31 ,118462.375 ,
demandaCAL, 639582.6 ,467303.2 ,355897.78 ,198931.83 ,82764.016 ,0.0 ,0.0 ,0.0 ,0.0 ,70208.234 ,382603.94 ,647913.44 ,
consumoElectricidad, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,
consumoCombustible, 1056457.9 ,793421.1 ,641235.9 ,404865.34 ,235601.4 ,108996.984 ,105456.56 ,106270.12 ,109017.96 ,219587.03 ,675631.9 ,1070766.4 ,
nhFunciona, 535 ,420 ,351 ,233 ,132 ,42 ,41 ,41 ,42 ,123 ,383 ,532 ,
nhCortaACS, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
nhCortaCAL, 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
FinCALDERA
  
ESPACIO   , P02_E01
nhFuncionaRef ,0 ,0 ,0 ,0 ,0 ,480 ,496 ,496 ,480 ,0 ,0 ,0
nhFuncionaCal ,744 ,672 ,744 ,720 ,744 ,0 ,0 ,0 ,0 ,744 ,720 ,744
nhCortaRef ,0 ,0 ,0 ,0 ,0 ,6 ,93 ,108 ,69 ,0 ,0 ,0
nhCortaCal ,19 ,13 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,14
QRefSen ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
QCalSen ,639582.6 ,467303.25 ,355897.78 ,198931.8 ,82764.03 ,0.0 ,0.0 ,0.0 ,0.0 ,70208.25 ,382603.94 ,647913.5
QRefNoCubierta ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,4095.4517 ,76578.56 ,73581.516 ,39122.523 ,0.0 ,0.0 ,0.0
QCalNoCubierta ,11901.839 ,8537.071 ,6245.8296 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,2642.5444 ,9788.238
FinESPACIO
  
ESPACIO   , P03_E01
nhFuncionaRef ,0 ,0 ,0 ,0 ,0 ,480 ,496 ,496 ,480 ,0 ,0 ,0
nhFuncionaCal ,744 ,672 ,744 ,720 ,744 ,0 ,0 ,0 ,0 ,744 ,720 ,744
nhCortaRef ,0 ,0 ,0 ,0 ,0 ,89 ,224 ,234 ,100 ,0 ,0 ,0
nhCortaCal ,719 ,672 ,744 ,475 ,155 ,0 ,0 ,0 ,0 ,58 ,694 ,744
QRefSen ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
QCalSen ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
QRefNoCubierta ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,20098.145 ,68302.125 ,59682.973 ,24943.754 ,0.0 ,0.0 ,0.0
QCalNoCubierta ,264340.44 ,189374.12 ,132284.55 ,52838.09 ,14375.126 ,0.0 ,0.0 ,0.0 ,0.0 ,14833.136 ,154252.97 ,258578.14
FinESPACIO
  
DEMANDA_ACS   , SIS2_ACS1_Demanda_de_ACS
nhFunciona ,620 ,560 ,620 ,600 ,620 ,600 ,620 ,620 ,600 ,620 ,600 ,620
nhCorta ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0
Q ,84507.734 ,74964.18 ,81484.31 ,74539.79 ,74000.79 ,67225.01 ,64930.46 ,66442.13 ,67225.01 ,75437.195 ,78855.75 ,84507.734
QNoCubierta ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
FinDEMANDA_ACS
  
