Time,2 P02 E01:ZARAGOZA AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],2 P02 E01:ZARAGOZA AP SEPTEMBER .4% CONDNS DB=>MCWB:Des Sens Cool Load [W],2 P02 E01:ZARAGOZA AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],2 P02 E01:ZARAGOZA AP SEPTEMBER .4% CONDNS DB=>MCWB:Des Cool Mass Flow [kg/s],2 P02 E01::Des Latent Heat Load [W],2 P02 E01::Des Latent Cool Load [W],2 P02 E01::Des Latent Heat Mass Flow [kg/s],2 P02 E01::Des Latent Cool Mass Flow [kg/s],2 P02 E01::Des Heat Load No DOAS [W],2 P02 E01::Des Sens Cool Load No DOAS [W],2 P02 E01::Des Latent Heat Load No DOAS [W],2 P02 E01::Des Latent Cool Load No DOAS [W],2 P02 E01:ZARAGOZA AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],2 P02 E01:ZARAGOZA AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],2 P02 E01:ZARAGOZA AP SEPTEMBER .4% CONDNS DB=>MCWB:Cooling Zone Temperature [C],2 P02 E01:ZARAGOZA AP SEPTEMBER .4% CONDNS DB=>MCWB:Cooling Zone Relative Humidity [%]
00:15:00,3.219656E+03,2.326796E+03,1.680565E-01,2.305764E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892332E+01,2.388712E+01,4.659762E+01
00:30:00,3.214405E+03,2.277393E+03,1.677824E-01,2.256810E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892347E+01,2.388712E+01,4.662888E+01
00:45:00,3.209165E+03,2.229848E+03,1.675088E-01,2.209695E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892361E+01,2.388711E+01,4.665964E+01
01:00:00,3.203936E+03,2.184095E+03,1.672359E-01,2.164357E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892376E+01,2.388711E+01,4.669010E+01
01:15:00,3.204188E+03,2.145915E+03,1.672491E-01,2.126523E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892390E+01,2.388711E+01,4.672045E+01
01:30:00,3.204439E+03,2.109843E+03,1.672622E-01,2.090777E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892405E+01,2.388710E+01,4.674974E+01
01:45:00,3.204689E+03,2.075862E+03,1.672752E-01,2.057105E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892419E+01,2.388709E+01,4.677779E+01
02:00:00,3.204939E+03,2.043952E+03,1.672883E-01,2.025485E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892433E+01,2.388708E+01,4.680501E+01
02:15:00,3.205189E+03,2.013511E+03,1.673013E-01,1.995320E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892448E+01,2.388708E+01,4.683170E+01
02:30:00,3.205438E+03,1.984429E+03,1.673143E-01,1.966502E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892462E+01,2.388708E+01,4.685768E+01
02:45:00,3.205686E+03,1.956600E+03,1.673273E-01,1.938925E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892476E+01,2.388708E+01,4.688301E+01
03:00:00,3.205934E+03,1.929934E+03,1.673402E-01,1.912500E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892491E+01,2.388708E+01,4.690789E+01
03:15:00,3.206181E+03,1.904040E+03,1.673531E-01,1.886840E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892505E+01,2.388708E+01,4.693250E+01
03:30:00,3.206428E+03,1.878884E+03,1.673660E-01,1.861911E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892519E+01,2.388707E+01,4.695692E+01
03:45:00,3.206674E+03,1.854443E+03,1.673788E-01,1.837691E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892533E+01,2.388707E+01,4.698117E+01
04:00:00,3.206920E+03,1.830698E+03,1.673917E-01,1.814162E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892548E+01,2.388707E+01,4.700523E+01
04:15:00,3.207165E+03,1.808062E+03,1.674045E-01,1.791731E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892562E+01,2.388707E+01,4.702908E+01
04:30:00,3.207409E+03,1.786526E+03,1.674172E-01,1.770389E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892576E+01,2.388707E+01,4.705213E+01
04:45:00,3.207653E+03,1.766069E+03,1.674300E-01,1.750117E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.110884E+01,2.892590E+01,2.388706E+01,4.707426E+01
