NAME,THICKNESS,CONDUCTIVITY,DENSITY,SPECIFIC_HEAT,VAPOUR_DF,IMAGE,TYPE,GRUPO
Basalto [2700 < d < 3000],0.02,3.5,2850,1000,10000,arcilla.bmp,C,Pétreos y suelos
Granito [2500 < d < 2700],0.02,2.8,2600,1000,10000,arcilla.bmp,C,Pétreos y suelos
Piedra pómez natural [d < 400],0.02,0.12,390,1000,6,arcilla.bmp,C,Pétreos y suelos
Roca natural porosa [por ejem. Lava] d < 1600,0.02,0.55,1500,1000,15,arcilla.bmp,C,Pétreos y suelos
Traquita andesita [2000 < d < 2700],0.02,1.1,2350,1000,15,arcilla.bmp,C,Pétreos y suelos
Arcilla o limo [1200 < d < 1800],0.02,1.5,1500,2100,50,arcilla.bmp,C,Pétreos y suelos
Arena y grava [1700 < d < 2200],0.02,2,1450,1050,50,arcilla.bmp,C,Pétreos y suelos
Arenisca [2200 < d < 2600],0.02,3,2400,1000,50,arcilla.bmp,C,Pétreos y suelos
Asperón [1900 < d < 2500],0.02,1.8,2200,1000,40,arcilla.bmp,C,Pétreos y suelos
Asperón [1300 < d < 1900],0.02,0.9,1600,1000,20,arcilla.bmp,C,Pétreos y suelos
Caliza muy dura [2200 < d < 2590],0.02,2.3,2395,1000,200,arcilla.bmp,C,Pétreos y suelos
Caliza dura [2000 < d < 2190],0.02,1.7,2095,1000,150,arcilla.bmp,C,Pétreos y suelos
Caliza dureza media [1800 < d < 1990],0.02,1.4,1895,1000,40,arcilla.bmp,C,Pétreos y suelos
Caliza blanda [1600 < d < 1790],0.02,1.1,1695,1000,25,arcilla.bmp,C,Pétreos y suelos
Caliza muy blanda [d < 1590],0.02,0.85,1500,1000,20,arcilla.bmp,C,Pétreos y suelos
Silex [2600 < d < 2800],0.02,2.6,2700,1000,10000,arcilla.bmp,C,Pétreos y suelos
Gneis Pórfido [2300 < d < 2900],0.02,3.5,2600,1000,10000,arcilla.bmp,C,Pétreos y suelos
Esquisto Pizarra [2000 < d < 2800],0.02,2.2,2400,1000,800,arcilla.bmp,C,Pétreos y suelos
Mármol [2600 < d < 2800],0.02,3.5,2700,1000,10000,arcilla.bmp,C,Pétreos y suelos
Tierra vegetal [d < 2050],0.02,0.52,2000,1840,1,arcilla.bmp,C,Pétreos y suelos
Piedra artificial,0.02,1.3,1700,1000,40,arcilla.bmp,C,Pétreos y suelos
Tierra apisonada adobe bloques de tierra comprimida [1770 < d < 2000],0.02,1.1,1885,1000,1,arcilla.bmp,C,Pétreos y suelos
Acero,0.02,50,7800,450,1000000000000000000000000000000,metales.bmp,C,Metales
Acero Inoxidable,0.02,17,7900,460,1000000000000000000000000000000,metales.bmp,C,Metales
Aluminio,0.02,230,2700,880,1000000000000000000000000000000,metales.bmp,C,Metales
Aluminio aleaciones de,0.02,160,2800,880,1000000000000000000000000000000,metales.bmp,C,Metales
Bronce,0.02,65,8700,380,1000000000000000000000000000000,metales.bmp,C,Metales
Cobre,0.02,380,8900,380,1000000000000000000000000000000,metales.bmp,C,Metales
Cromo,0.02,93.7,7160,449,1000000000000000000000000000000,metales.bmp,C,Metales
Estaño,0.02,66.6,7310,227,1000000000000000000000000000000,metales.bmp,C,Metales
Hierro,0.02,72,7870,450,1000000000000000000000000000000,metales.bmp,C,Metales
Hierro fundición,0.02,50,7500,450,1000000000000000000000000000000,metales.bmp,C,Metales
Latón,0.02,120,8400,380,1000000000000000000000000000000,metales.bmp,C,Metales
Níquel,0.02,90.7,8900,444,1000000000000000000000000000000,metales.bmp,C,Metales
Plomo,0.02,35,11300,130,1000000000000000000000000000000,metales.bmp,C,Metales
Titanio,0.02,21.9,4500,522,1000000000000000000000000000000,metales.bmp,C,Metales
Zinc,0.02,110,7200,380,1000000000000000000000000000000,metales.bmp,C,Metales
Frondosa muy pesada [d > 870],0.02,0.29,900,1600,50,madera.bmp,C,Maderas
Material_Base,0.075,1,3000,1000,10,,C,
Frondosa pesada 750 < d < 870,0.02,0.23,775,1600,50,madera.bmp,C,Maderas
Frondosade peso medio 565 < d < 750,0.02,0.18,660,1600,50,madera.bmp,C,Maderas
Frondosa ligera 435 < d < 565,0.02,0.15,500,1600,50,madera.bmp,C,Maderas
Frondosa muy ligera 200 < d < 435,0.02,0.13,320,1600,50,madera.bmp,C,Maderas
Conífera muy pesada d >610,0.02,0.23,620,1600,20,madera.bmp,C,Maderas
Conífera pesada 520 < d < 610,0.02,0.18,570,1600,20,madera.bmp,C,Maderas
Conífera de peso medio 435 < d < 520,0.02,0.15,480,1600,20,madera.bmp,C,Maderas
Conífera ligera d < 435,0.02,0.13,430,1600,20,madera.bmp,C,Maderas
Balsa d < 200,0.02,0.057,180,1600,20,madera.bmp,C,Maderas
Tablero contrachapado 700 < d < 900 ,0.02,0.24,800,1600,110,madera.bmp,C,Maderas
Tablero contrachapado 600 < d < 750,0.02,0.21,675,1600,110,madera.bmp,C,Maderas
Tablero contrachapado 500 < d < 600,0.02,0.17,550,1600,90,madera.bmp,C,Maderas
Tablero contrachapado 450 < d < 500,0.02,0.15,475,1600,70,madera.bmp,C,Maderas
Tablero contrachapado 350 < d < -450,0.02,0.13,400,1600,70,madera.bmp,C,Maderas
Tablero contrachapado 250 < d < 350,0.02,0.11,300,1600,50,madera.bmp,C,Maderas
Tablero contrachapado d < 250,0.02,0.09,200,1600,50,madera.bmp,C,Maderas
Tablero de partículas 640 < d < 820,0.02,0.18,730,1700,20,madera.bmp,C,Maderas
Tablero de partículas 450 < d < 640,0.02,0.15,545,1700,20,madera.bmp,C,Maderas
Tablero de partículas 270 < d < 450,0.02,0.13,360,1700,20,madera.bmp,C,Maderas
Tablero de partículas 180 < d < 270,0.02,0.1,225,1700,20,madera.bmp,C,Maderas
Tablero de partículas con cemento d < 1200,0.02,0.23,1200,1500,30,madera.bmp,C,Maderas
Tableros de fibras incluyendo MDF 750 < d < 1000,0.02,0.2,875,1700,20,madera.bmp,C,Maderas
Tableros de fibras incluyendo MDF 550 < d < 750,0.02,0.18,650,1700,20,madera.bmp,C,Maderas
Tableros de fibras incluyendo MDF 350 < d < 550,0.02,0.14,450,1700,12,madera.bmp,C,Maderas
Tableros de fibras incluyendo MDF 200 < d < 350,0.02,0.1,275,1700,6,madera.bmp,C,Maderas
Tableros de fibras incluyendo MDF d < 200,0.02,0.07,180,1700,2,madera.bmp,C,Maderas
Paneles de fibras con conglomerante hidráulico 450 < d < 550,0.02,0.15,500,1700,12,madera.bmp,C,Maderas
Paneles de fibras con conglomerante hidráulico 350 < d < 450,0.02,0.12,400,1700,5,madera.bmp,C,Maderas
Paneles de fibras con conglomerante hidráulico 250 < d < 350,0.02,0.1,300,1700,5,madera.bmp,C,Maderas
Tablero de virutas orientadas [OSB] d < 650,0.02,0.13,600,1700,30,madera.bmp,C,Maderas
Corcho Comprimido ,0.02,0.1,450,1560,5,madera.bmp,C,Maderas
Corcho Expandido puro 100 < d < 150,0.02,0.049,125,1560,5,madera.bmp,C,Maderas
Corcho Expandido con resinas sintéticas 150 < d < 250,0.02,0.055,200,1560,5,madera.bmp,C,Maderas
Corcho Expandido con resinas sintéticas 100 < d < 150,0.02,0.049,125,1560,5,madera.bmp,C,Maderas
Placas de corcho,0.02,0.065,450,1500,20,madera.bmp,C,Maderas
Hormigón armado d > 2500,0.02,2.5,2600,1000,80,hormigon.bmp,C,Hormigones
Hormigón armado 2300 < d < 2500,0.02,2.3,2400,1000,80,hormigon.bmp,C,Hormigones
Hormigón en masa 2300 < d < 2600,0.02,2,2450,1000,80,hormigon.bmp,C,Hormigones
Hormigón en masa 2000 < d < 2300,0.02,1.65,2150,1000,70,hormigon.bmp,C,Hormigones
Hormigón con áridos ligeros 1800 < d < 2000,0.02,1.35,1900,1000,60,hormigon.bmp,C,Hormigones
Hormigón con áridos ligeros 1600 < d < 1800,0.02,1.15,1700,1000,60,hormigon.bmp,C,Hormigones
Hormigón convencional  d 2400,0.02,1.9,2400,1000,120,hormigon.bmp,C,Hormigones
Hormigón convencional  d 2300,0.02,1.72,2300,1000,120,hormigon.bmp,C,Hormigones
Hormigón convencional  d 2200,0.02,1.57,2200,1000,120,hormigon.bmp,C,Hormigones
Hormigón convencional  d 2100,0.02,1.44,2100,1000,120,hormigon.bmp,C,Hormigones
Hormigón convencional  d 2000,0.02,1.32,2000,1000,120,hormigon.bmp,C,Hormigones
Hormigón convencional  d 1900,0.02,1.2,1900,1000,120,hormigon.bmp,C,Hormigones
Hormigón convencional  d 1800,0.02,1.12,1800,1000,120,hormigon.bmp,C,Hormigones
Hormigón convencional  d 1700,0.02,1.03,1700,1000,120,hormigon.bmp,C,Hormigones
Hormigón convencional  d 1600,0.02,0.97,1600,1000,120,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida sin otros áridos d 700,0.02,0.22,700,1000,4,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida sin otros áridos d 600,0.02,0.19,600,1000,4,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida sin otros áridos d 500,0.02,0.16,500,1000,4,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida sin otros áridos d 400,0.02,0.13,400,1000,4,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida como árido principal d 1700,0.02,0.76,1700,1000,6,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida como árido principal d 1600,0.02,0.68,1600,1000,6,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida como árido principal d 1500,0.02,0.61,1500,1000,6,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida como árido principal d 1400,0.02,0.55,1400,1000,6,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida como árido principal d 1300,0.02,0.5,1300,1000,6,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida como árido principal d 1200,0.02,0.44,1200,1000,6,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida como árido principal d 1100,0.02,0.39,1100,1000,6,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida como árido principal d 1000,0.02,0.35,1000,1000,6,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida como árido principal d 900,0.02,0.3,900,1000,6,hormigon.bmp,C,Hormigones
Hormigón con arcilla expandida como árido principal d 800,0.02,0.27,800,1000,6,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 2000,0.02,1.5,2000,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 1800,0.02,1.22,1800,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 1600,0.02,0.59,1600,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 1500,0.02,0.52,1500,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 1400,0.02,0.46,1400,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 1300,0.02,0.42,1300,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 1200,0.02,0.37,1200,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 1100,0.02,0.34,1100,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 1000,0.02,0.3,1000,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 900,0.02,0.27,900,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 800,0.02,0.65,800,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 700,0.02,0.74,700,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 600,0.02,0.83,600,1000,10,hormigon.bmp,C,Hormigones
Hormigón con otros áridos ligeros d 500,0.02,0.94,500,1000,10,hormigon.bmp,C,Hormigones
Hormigón celular curado en autoclave d 1000,0.02,0.29,1000,1000,6,hormigon.bmp,C,Hormigones
Hormigón celular curado en autoclave d 900,0.02,0.27,900,1000,6,hormigon.bmp,C,Hormigones
Hormigón celular curado en autoclave d 800,0.02,0.23,800,1000,6,hormigon.bmp,C,Hormigones
Hormigón celular curado en autoclave d 700,0.02,0.2,700,1000,6,hormigon.bmp,C,Hormigones
Hormigón celular curado en autoclave d 600,0.02,0.18,600,1000,6,hormigon.bmp,C,Hormigones
Hormigón celular curado en autoclave d 500,0.02,0.14,500,1000,6,hormigon.bmp,C,Hormigones
