hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.76, 18.76, -1884.04, 20.00, 4.63, -1.11, -4.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.50, 18.50, -1509.13, 20.00, 4.63, 5.00, 2.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.38, 18.38, -1409.03, 20.00, 4.63, 6.67, 4.07, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.27, 18.27, -1416.40, 20.00, 4.63, 6.67, 4.07, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.14, 18.14, -1461.91, 20.00, 4.63, 6.11, 3.49, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.03, 18.03, -1471.01, 20.00, 4.63, 6.11, 3.49, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.90, 17.90, -1516.39, 20.00, 4.63, 5.56, 2.97, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1469.60, 20.00, 4.63, 5.56, 2.97, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1463.01, 20.00, 4.63, 5.56, 2.97, 0.00, 2.41, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1304.39, 20.00, 4.63, 6.67, 4.07, 0.00, 21.72, 39.19, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -1028.72, 20.00, 4.63, 7.78, 5.17, 31.67, 42.28, 51.67, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -1125.59, 20.00, 4.63, 7.78, 5.23, 4.09, 31.26, 64.98, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -1026.23, 20.00, 4.63, 8.33, 5.76, 0.17, 47.95, 78.64, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -952.43, 20.00, 4.63, 8.89, 6.28, 0.00, 52.77, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -717.18, 20.00, 4.63, 9.44, 6.86, 0.00, 65.65, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -792.46, 20.00, 4.63, 9.44, 6.86, 0.00, 51.19, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -1016.60, 20.00, 4.63, 8.89, 6.34, 0.00, 21.72, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -1139.66, 20.00, 4.63, 8.33, 5.76, 0.00, 4.83, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -1113.12, 20.00, 4.63, 8.33, 5.76, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1002.60, 20.00, 4.63, 7.78, 5.17, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -996.59, 20.00, 4.63, 7.78, 5.17, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1029.81, 20.00, 4.63, 7.22, 4.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1028.73, 20.00, 4.63, 7.22, 4.59, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.47, 19.47, -1188.16, 20.00, 4.63, 6.67, 4.07, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.01, 19.01, -1327.94, 20.00, 4.63, 6.67, 4.01, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.66, 18.66, -1386.31, 20.00, 4.63, 6.11, 3.49, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.39, 18.39, -1403.31, 20.00, 4.63, 6.11, 3.49, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.16, 18.16, -1454.63, 20.00, 4.63, 5.56, 2.91, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.98, 17.98, -1467.81, 20.00, 4.63, 5.56, 2.91, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.80, 17.80, -1516.51, 20.00, 4.63, 5.00, 2.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.65, 17.65, -1528.36, 20.00, 4.63, 5.00, 2.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1516.39, 20.00, 4.63, 4.44, 1.81, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1517.64, 20.00, 4.63, 4.44, 1.81, 0.00, 1.21, 0.00, 0.00, 90.00, 0, 0
