hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.94, 18.94, -1597.52, 20.00, 4.63, -1.11, -3.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.70, 18.70, -1298.56, 20.00, 4.63, 5.00, 2.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.58, 18.58, -1218.58, 20.00, 4.63, 6.67, 4.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.47, 18.47, -1225.76, 20.00, 4.63, 6.67, 4.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.35, 18.35, -1264.27, 20.00, 4.63, 6.11, 3.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.24, 18.24, -1273.13, 20.00, 4.63, 6.11, 3.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.13, 18.13, -1311.46, 20.00, 4.63, 5.56, 3.41, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1269.05, 20.00, 4.63, 5.56, 3.41, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1262.46, 20.00, 4.63, 5.56, 3.41, 0.00, 2.22, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1117.56, 20.00, 4.63, 6.67, 4.51, 0.00, 19.96, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -855.74, 20.00, 4.63, 7.78, 5.61, 0.00, 39.18, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -952.47, 20.00, 4.63, 7.78, 5.66, 0.00, 28.85, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -859.95, 20.00, 4.63, 8.33, 6.19, 0.00, 44.10, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -792.90, 20.00, 4.63, 8.89, 6.72, 0.01, 48.53, 87.57, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -564.63, 20.00, 4.63, 9.44, 7.30, 8.09, 61.15, 73.80, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -639.80, 20.00, 4.63, 9.44, 7.30, 15.25, 47.43, 60.23, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -856.98, 20.00, 4.63, 8.89, 6.77, 0.00, 19.96, 47.14, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -973.21, 20.00, 4.63, 8.33, 6.19, 0.00, 4.44, 35.17, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -946.60, 20.00, 4.63, 8.33, 6.19, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -829.37, 20.00, 4.63, 7.78, 5.61, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -823.33, 20.00, 4.63, 7.78, 5.61, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
