Nombre espacio, Area(m2)
"P03_E01", 64.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 0, -0.129, 0.094, -0.194, 0.000, -0.242, -0.171, 0.654, 3.804, -3.816, 0.000, 0.000, 19.20
1, 0, -0.978, -0.022, -1.665, 0.000, -1.835, -1.293, 0.614, 3.641, -2.559, 4.097, 0.000, 18.92
1, 0, -0.794, -0.012, -1.416, 0.000, -1.492, -1.051, 0.579, 3.541, -2.204, 2.849, 0.000, 18.73
1, 0, -0.712, -0.009, -1.271, 0.000, -1.337, -0.943, 0.547, 3.471, -2.175, 2.428, 0.000, 18.57
1, 0, -0.668, -0.007, -1.174, 0.000, -1.254, -0.886, 0.518, 3.416, -2.253, 2.308, 0.000, 18.42
1, 0, -0.617, -0.005, -1.081, 0.000, -1.159, -0.820, 0.491, 3.371, -2.228, 2.048, -0.000, 18.28
1, 0, -0.593, -0.005, -1.021, 0.000, -1.113, -0.788, 0.466, 3.332, -2.309, 2.031, 0.000, 18.15
1, 1, -2.157, -0.252, -3.702, 0.000, -4.051, -2.873, 0.444, 3.374, -2.649, -27.816, -39.682, 20.00
1, 1, -2.070, -0.227, -3.552, 0.000, -3.885, -2.746, 0.531, 3.350, -2.649, 0.000, -11.247, 20.00
1, 1, -1.916, -0.211, -3.456, 0.000, -3.578, -2.435, 1.389, 3.327, -2.436, 0.000, -9.316, 20.00
1, 1, -1.737, -0.197, -3.373, 0.000, -3.215, -1.977, 3.078, 3.306, -2.224, 0.000, -6.340, 20.00
1, 1, -1.737, -0.189, -3.337, 0.000, -3.226, -2.080, 2.305, 3.286, -2.224, 0.000, -7.202, 20.00
1, 1, -1.645, -0.180, -3.287, 0.000, -3.036, -1.884, 2.988, 3.268, -2.119, 0.000, -5.896, 20.00
1, 1, -1.573, -0.171, -3.246, 0.000, -2.895, -1.753, 3.333, 3.251, -2.014, 0.000, -5.068, 20.00
1, 1, -1.450, -0.162, -3.191, 0.000, -2.661, -1.510, 4.272, 3.236, -1.909, 0.000, -3.374, 20.00
1, 1, -1.458, -0.157, -3.176, 0.000, -2.691, -1.585, 3.720, 3.509, -1.909, 0.000, -3.747, 20.00
1, 1, -1.560, -0.155, -3.188, 0.000, -2.898, -1.859, 2.330, 3.519, -2.014, 0.000, -5.825, 20.00
1, 1, -1.628, -0.152, -3.189, 0.000, -3.044, -2.049, 1.462, 3.523, -2.119, 0.000, -7.197, 20.00
1, 1, -1.641, -0.148, -3.175, 0.000, -3.077, -2.109, 1.096, 4.461, -2.119, 0.000, -6.712, 20.00
1, 1, -1.673, -0.145, -3.162, 0.000, -3.139, -2.166, 0.973, 6.881, -2.224, 0.000, -4.654, 20.00
1, 1, -1.675, -0.141, -3.142, 0.000, -3.145, -2.179, 0.886, 7.122, -2.224, 0.000, -4.498, 20.00
1, 1, -1.706, -0.138, -3.127, 0.000, -3.203, -2.228, 0.816, 7.287, -2.330, 0.000, -4.628, 20.00
1, 1, -1.711, -0.134, -3.108, 0.000, -3.214, -2.241, 0.759, 7.416, -2.330, 0.000, -4.563, 20.00
1, 0, -1.491, -0.080, -2.647, 0.000, -2.800, -1.959, 0.708, 5.754, -2.376, 4.891, -0.000, 19.67
1, 0, -1.242, -0.044, -2.183, 0.000, -2.332, -1.635, 0.664, 3.830, -2.312, 5.255, 0.000, 19.32
1, 0, -1.074, -0.026, -1.846, 0.000, -2.017, -1.418, 0.625, 3.666, -2.364, 4.454, 0.000, 19.03
1, 0, -0.930, -0.015, -1.587, 0.000, -1.748, -1.230, 0.589, 3.566, -2.319, 3.675, -0.000, 18.78
1, 0, -0.839, -0.010, -1.400, 0.000, -1.576, -1.112, 0.557, 3.495, -2.386, 3.271, -0.000, 18.56
1, 0, -0.751, -0.006, -1.244, 0.000, -1.411, -0.997, 0.527, 3.439, -2.352, 2.795, 0.000, 18.38
1, 0, -0.700, -0.004, -1.134, 0.000, -1.313, -0.930, 0.500, 3.393, -2.426, 2.614, 0.000, 18.20
1, 0, -0.643, -0.002, -1.034, 0.000, -1.207, -0.855, 0.475, 3.354, -2.398, 2.311, 0.000, 18.05
1, 1, -2.363, -0.177, -3.728, 0.000, -4.437, -3.149, 0.452, 3.396, -2.864, -29.267, -42.137, 20.00
1, 1, -2.276, -0.158, -3.573, 0.000, -4.271, -3.028, 0.485, 3.371, -2.864, 0.000, -12.314, 20.00
1, 1, -2.170, -0.147, -3.484, 0.000, -4.059, -2.817, 1.013, 3.347, -2.757, 0.000, -11.074, 20.00
1, 1, -2.068, -0.138, -3.422, 0.000, -3.849, -2.591, 1.716, 3.326, -2.649, 0.000, -9.675, 20.00
1, 1, -1.863, -0.131, -3.359, 0.000, -3.423, -2.004, 3.965, 3.305, -2.436, 0.000, -5.946, 20.00
1, 1, -1.791, -0.125, -3.317, 0.000, -3.279, -1.914, 4.041, 3.287, -2.330, 0.000, -5.429, 20.00
