CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa densificada (pelets),Biomasa densificada (pelets),Biomasa densificada (pelets)
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 7974.79 , 5798.20 
 0.00 , 2739.44 , 1878.26 
 0.00 , 2300.66 , 1569.92 
 0.00 , 1605.54 , 1087.40 
3876.41 , 1804.92 , 4834.15 
 0.00 , 1533.03 , 1037.48 
 0.00 , 1337.59 , 903.32 
 0.00 , 825.62 , 554.52 
 0.00 , 965.59 , 649.51 
 0.00 , 1484.42 , 1004.06 
 0.00 , 1788.40 , 1213.63 
 0.00 , 1701.93 , 1153.88 
 0.00 , 1350.44 , 912.12 
3887.99 , 1322.36 , 4510.86 
 0.00 , 1388.10 , 937.94 
 0.00 , 1379.73 , 932.20 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 8769.22 , 6434.79 
 0.00 , 3125.09 , 2151.71 
4208.19 , 2832.89 , 5869.12 
 0.00 , 2544.23 , 1740.72 
 0.00 , 1680.47 , 1139.06 
 0.00 , 1572.78 , 1064.84 
 0.00 , 1728.16 , 1171.99 
 0.00 , 2126.86 , 1448.60 
 0.00 , 2249.20 , 1533.95 
 0.00 , 2226.20 , 1517.89 
 0.00 , 2400.84 , 1640.06 
3797.38 , 2287.16 , 5098.43 
 0.00 , 1858.99 , 1262.49 
 0.00 , 1902.09 , 1292.36 
 0.00 , 1881.32 , 1277.97 
 0.00 , 1864.39 , 1266.24 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
4096.34 , 9288.42 , 10803.72 
 0.00 , 3270.36 , 2255.31 
 0.00 , 3021.80 , 2078.24 
 0.00 , 2591.16 , 1773.74 
 0.00 , 1296.45 , 875.15 
 0.00 , 1294.91 , 874.09 
 0.00 , 1592.05 , 1078.10 
 0.00 , 1349.38 , 911.40 
3836.72 , 1413.62 , 4526.01 
 0.00 , 1858.90 , 1262.43 
 0.00 , 2110.61 , 1437.27 
 0.00 , 2077.84 , 1414.46 
 0.00 , 1644.61 , 1114.33 
 0.00 , 1688.78 , 1144.80 
 0.00 , 1747.62 , 1185.43 
 0.00 , 1734.52 , 1176.39 
3767.28 ,  0.00 , 3503.57 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 339.58 , 226.90 
 0.00 , 10496.02 , 7860.00 
 0.00 , 4356.19 , 3040.26 
 0.00 , 3638.43 , 2519.29 
 0.00 , 354.74 , 237.07 
3876.41 ,  0.00 , 3605.06 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 488.02 , 326.60 
 0.00 , 1359.09 , 918.05 
 0.00 , 1479.89 , 1000.95 
3887.99 , 1598.17 , 4701.30 
 0.00 , 1797.62 , 1220.01 
 0.00 , 1913.46 , 1300.25 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 205.15 , 136.89 
 0.00 , 645.04 , 432.41 
 0.00 , 10496.02 , 7860.00 
 0.00 , 4576.63 , 3201.93 
4208.19 , 2843.83 , 5876.96 
 0.00 , 1532.61 , 1037.19 
 0.00 , 449.94 , 300.99 
 0.00 , 27.23 , 18.13 
 0.00 ,  4.67 ,  3.11 
 0.00 ,  4.25 ,  2.83 
 0.00 ,  8.95 ,  5.96 
 0.00 , 124.84 , 83.22 
 0.00 , 672.75 , 451.11 
3797.38 , 1525.79 , 4566.85 
 0.00 , 1593.87 , 1079.36 
 0.00 , 1712.11 , 1160.91 
 0.00 , 1825.86 , 1239.55 
 0.00 , 1934.72 , 1315.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 347.26 , 232.05 
 0.00 , 700.78 , 470.05 
4096.34 , 10290.79 , 11669.60 
 0.00 , 4561.36 , 3190.71 
 0.00 , 2399.69 , 1639.26 
 0.00 , 744.05 , 499.31 
 0.00 , 29.35 , 19.55 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
3836.72 ,  0.00 , 3568.15 
 0.00 , 16.39 , 10.91 
 0.00 , 523.30 , 350.34 
 0.00 , 1371.63 , 926.65 
 0.00 , 1566.12 , 1060.25 
 0.00 , 1612.29 , 1092.05 
 0.00 , 1729.65 , 1173.02 
 0.00 , 1842.49 , 1251.07 
3767.28 ,  0.00 , 3503.57 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 478.00 , 319.86 
 0.00 , 10445.75 , 7817.69 
 0.00 , 4227.76 , 2946.43 
 0.00 , 1773.93 , 1203.63 
 0.00 , 435.05 , 290.99 
3876.41 , 845.79 , 4174.12 
 0.00 , 1208.20 , 814.81 
 0.00 , 1322.53 , 893.00 
 0.00 , 790.12 , 530.48 
 0.00 , 299.66 , 200.14 
 0.00 , 611.12 , 409.52 
 0.00 , 1970.18 , 1339.61 
 0.00 , 2223.54 , 1516.03 
 0.00 , 1914.23 , 1300.78 
3887.99 , 1913.85 , 4920.91 
 0.00 , 2004.65 , 1363.56 
 0.00 , 2011.78 , 1368.51 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 316.22 , 211.24 
 0.00 , 10349.05 , 7736.43 
 0.00 , 4132.10 , 2876.73 
4208.19 , 3963.48 , 6690.35 
 0.00 , 3841.54 , 2665.88 
 0.00 , 3752.66 , 2601.65 
 0.00 , 3670.73 , 2542.56 
