hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 17.19, 17.19, -654.97, 20.00, 4.63, -1.11, -1.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.80, 17.80, -524.81, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.95, 17.95, -490.40, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.93, 17.93, -490.54, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.84, 17.84, -502.15, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.81, 17.81, -502.29, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.72, 17.72, -513.94, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.69, 17.69, -514.08, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.66, 17.66, -514.21, 20.00, 4.63, 5.56, 5.56, 0.00, 1.26, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.74, 17.74, -491.34, 20.00, 4.63, 6.67, 6.67, 0.00, 11.36, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 17.83, 17.83, -468.66, 20.00, 4.63, 7.78, 7.78, 0.00, 23.97, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 17.80, 17.80, -468.78, 20.00, 4.63, 7.78, 7.78, 0.00, 17.03, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 17.84, 17.84, -457.57, 20.00, 4.63, 8.33, 8.33, 0.00, 25.24, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 17.87, 17.87, -446.39, 20.00, 4.63, 8.89, 8.89, 0.00, 27.76, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 17.91, 17.91, -435.26, 20.00, 4.63, 9.44, 9.44, 0.00, 39.12, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 17.88, 17.88, -435.38, 20.00, 4.63, 9.44, 9.44, 0.00, 29.02, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 17.80, 17.80, -446.74, 20.00, 4.63, 8.89, 8.89, 0.00, 11.36, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 17.72, 17.72, -458.15, 20.00, 4.63, 8.33, 8.33, 0.00, 2.52, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 17.69, 17.69, -458.26, 20.00, 4.63, 8.33, 8.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.60, 17.60, -469.70, 20.00, 4.63, 7.78, 7.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.57, 17.57, -469.81, 20.00, 4.63, 7.78, 7.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.48, 17.48, -481.29, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.44, 17.44, -481.39, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.35, 17.35, -492.92, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.31, 17.31, -493.02, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.22, 17.22, -504.59, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.18, 17.18, -504.68, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.08, 17.08, -516.30, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.04, 17.04, -516.39, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.94, 16.94, -528.04, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.90, 16.90, -528.13, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.80, 16.80, -539.83, 20.00, 4.63, 4.44, 4.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.76, 16.76, -539.92, 20.00, 4.63, 4.44, 4.44, 0.00, 0.63, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.78, 16.78, -528.39, 20.00, 4.63, 5.00, 5.00, 0.00, 6.94, 0.00, -51.47, 83.01, 0, 0
2.00, 5.70, 16.80, 16.80, -516.91, 20.00, 4.63, 5.56, 5.56, 0.00, 14.51, 0.00, -40.11, 74.86, 0, 0
2.00, 5.70, 16.88, 16.88, -494.00, 20.00, 4.63, 6.67, 6.67, 0.00, 34.70, 0.00, -27.16, 68.55, 0, 0
2.00, 5.70, 16.91, 16.91, -482.65, 20.00, 4.63, 7.22, 7.22, 0.00, 35.96, 0.00, -12.71, 64.66, 0, 0
2.00, 5.70, 16.94, 16.94, -471.35, 20.00, 4.63, 7.78, 7.78, 0.00, 24.61, 0.00, 2.60, 63.65, 0, 0
2.00, 5.70, 16.86, 16.86, -482.81, 20.00, 4.63, 7.22, 7.22, 0.00, 9.46, 0.00, 17.73, 65.67, 0, 0
2.00, 5.70, 16.77, 16.77, -494.32, 20.00, 4.63, 6.67, 6.67, 0.00, 5.68, 0.00, 31.71, 70.43, 0, 0
2.00, 5.70, 16.74, 16.74, -494.39, 20.00, 4.63, 6.67, 6.67, 0.00, 6.94, 0.00, 44.11, 77.43, 0, 0
2.00, 5.70, 16.64, 16.64, -505.94, 20.00, 4.63, 6.11, 6.11, 0.00, 2.52, 0.00, 54.99, 86.09, 0, 0
2.00, 5.70, 16.61, 16.61, -506.01, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.58, 16.58, -506.08, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.48, 16.48, -517.67, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.45, 16.45, -517.74, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.41, 16.41, -517.81, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.38, 16.38, -517.88, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.34, 16.34, -517.94, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.31, 16.31, -518.01, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.28, 16.28, -518.07, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.18, 16.18, -529.69, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.15, 16.15, -529.76, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.11, 16.11, -529.82, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.08, 16.08, -529.88, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.04, 16.04, -529.93, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.01, 16.01, -529.99, 20.00, 4.63, 5.00, 5.00, 0.00, 0.63, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.03, 16.03, -518.48, 20.00, 4.63, 5.56, 5.56, 0.00, 5.05, 0.00, -51.61, 83.01, 0, 0
2.00, 5.70, 16.06, 16.06, -507.02, 20.00, 4.63, 6.11, 6.11, 0.00, 17.03, 0.00, -40.24, 74.84, 0, 0
2.00, 5.70, 16.21, 16.21, -472.79, 20.00, 4.63, 7.78, 7.78, 0.00, 42.90, 0.00, -27.29, 68.50, 0, 0
2.00, 5.70, 16.30, 16.30, -450.21, 20.00, 4.63, 8.89, 8.89, 0.00, 40.38, 0.00, -12.84, 64.59, 0, 0
2.00, 5.70, 16.29, 16.29, -450.27, 20.00, 4.63, 8.89, 8.89, 0.00, 28.39, 0.00, 2.49, 63.56, 0, 0
2.00, 5.70, 16.33, 16.33, -439.07, 20.00, 4.63, 9.44, 9.44, 0.00, 32.81, 0.00, 17.64, 65.56, 0, 0
2.00, 5.70, 16.31, 16.31, -439.12, 20.00, 4.63, 9.44, 9.44, 0.00, 25.24, 0.00, 31.65, 70.31, 0, 0
2.00, 5.70, 16.23, 16.23, -450.42, 20.00, 4.63, 8.89, 8.89, 0.00, 8.83, 0.00, 44.08, 77.30, 0, 0
2.00, 5.70, 16.16, 16.16, -461.76, 20.00, 4.63, 8.33, 8.33, 0.00, 1.89, 0.00, 54.97, 85.96, 0, 0
2.00, 5.70, 16.07, 16.07, -473.15, 20.00, 4.63, 7.78, 7.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 16.05, 16.05, -473.19, 20.00, 4.63, 7.78, 7.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.96, 15.96, -484.62, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.87, 15.87, -496.09, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.84, 15.84, -496.14, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.75, 15.75, -507.65, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.72, 15.72, -507.70, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.57, 15.57, -530.82, 20.00, 4.63, 5.00, 5.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.41, 15.41, -554.13, 20.00, 4.63, 3.89, 3.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.25, 15.25, -577.62, 20.00, 4.63, 2.78, 2.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 15.08, 15.08, -601.31, 20.00, 4.63, 1.67, 1.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.97, 14.97, -613.24, 20.00, 4.63, 1.11, 1.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.80, 14.80, -637.21, 20.00, 4.63, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.62, 14.62, -661.38, 20.00, 4.63, -1.11, -1.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.56, 14.56, -661.42, 20.00, 4.63, -1.11, -1.11, 0.00, 2.52, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 14.69, 14.69, -625.34, 20.00, 4.63, 0.56, 0.56, 0.00, 20.19, 0.00, -51.74, 83.01, 0, 0
2.00, 5.70, 14.95, 14.95, -566.13, 20.00, 4.63, 3.33, 3.33, 0.00, 47.95, 0.00, -40.38, 74.81, 0, 0
2.00, 5.70, 15.16, 15.16, -519.63, 20.00, 4.63, 5.56, 5.56, 0.00, 69.40, 0.00, -27.43, 68.45, 0, 0
