hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.77, 18.77, -1561.42, 20.00, 4.63, -1.11, -2.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.44, 18.44, -1247.85, 20.00, 4.63, 5.00, 3.81, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.23, 18.23, -1161.12, 20.00, 4.63, 6.67, 5.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.06, 18.06, -1166.33, 20.00, 4.63, 6.67, 5.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.88, 17.88, -1204.87, 20.00, 4.63, 6.11, 4.94, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.73, 17.73, -1212.78, 20.00, 4.63, 6.11, 4.94, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.57, 17.57, -1251.50, 20.00, 4.63, 5.56, 4.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1205.77, 20.00, 4.63, 5.56, 4.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1198.48, 20.00, 4.63, 5.56, 4.40, 0.00, 1.78, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1051.67, 20.00, 4.63, 6.67, 5.51, 0.00, 15.98, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -775.91, 20.00, 4.63, 7.78, 6.62, 0.00, 32.14, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -881.75, 20.00, 4.63, 7.78, 6.64, 0.00, 23.38, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -794.24, 20.00, 4.63, 8.33, 7.18, 0.00, 35.37, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -729.71, 20.00, 4.63, 8.89, 7.72, 0.00, 38.92, 87.57, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -488.60, 20.00, 4.63, 9.44, 8.29, 3.48, 50.96, 73.80, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -566.33, 20.00, 4.63, 9.44, 8.29, 6.74, 38.91, 60.23, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -797.62, 20.00, 4.63, 8.89, 7.75, 0.00, 15.98, 47.14, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -915.89, 20.00, 4.63, 8.33, 7.18, 0.00, 3.55, 35.17, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -884.34, 20.00, 4.63, 8.33, 7.18, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -756.35, 20.00, 4.63, 7.78, 6.62, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -749.28, 20.00, 4.63, 7.78, 6.62, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
