Nombre espacio, Area(m2)
"P01_E01", 64.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
0, 0, 0.000, 0.762, 0.000, 4.562, 0.613, 0.000, 0.000, 0.000, -5.937, 0.000, -0.000, 17.83
0, 0, 0.000, 0.530, 0.000, 3.140, 0.373, 0.000, 0.000, 0.000, -4.043, -0.000, 0.000, 18.19
0, 0, 0.000, 0.465, 0.000, 2.758, 0.313, 0.000, 0.000, 0.000, -3.536, -0.000, 0.000, 18.27
0, 0, 0.000, 0.461, 0.000, 2.756, 0.312, 0.000, 0.000, 0.000, -3.529, 0.000, 0.000, 18.25
0, 0, 0.000, 0.476, 0.000, 2.879, 0.330, 0.000, 0.000, 0.000, -3.686, 0.000, 0.000, 18.18
0, 0, 0.000, 0.470, 0.000, 2.876, 0.330, 0.000, 0.000, 0.000, -3.677, 0.000, 0.000, 18.15
0, 0, 0.000, 0.483, 0.000, 3.000, 0.350, 0.000, 0.000, 0.000, -3.833, 0.000, -0.000, 18.09
0, 0, 0.000, 0.479, 0.000, 3.018, 0.353, 0.000, 0.000, 0.000, -3.850, -0.000, -0.000, 18.14
0, 0, 0.000, 0.471, 0.000, 3.019, 0.353, 0.000, 0.000, 0.000, -3.843, 0.000, 0.000, 18.12
0, 0, 0.000, 0.425, 0.000, 2.771, 0.310, 0.000, 0.000, 0.000, -3.506, -0.000, 0.000, 18.17
0, 0, 0.000, 0.380, 0.000, 2.527, 0.265, 0.000, 0.000, 0.000, -3.172, -0.000, 0.000, 18.23
0, 0, 0.000, 0.373, 0.000, 2.527, 0.267, 0.000, 0.000, 0.000, -3.167, 0.000, -0.000, 18.21
0, 0, 0.000, 0.348, 0.000, 2.406, 0.245, 0.000, 0.000, 0.000, -2.999, -0.000, -0.000, 18.24
0, 0, 0.000, 0.324, 0.000, 2.283, 0.226, 0.000, 0.000, 0.000, -2.832, -0.000, -0.000, 18.26
0, 0, 0.000, 0.300, 0.000, 2.164, 0.203, 0.000, 0.000, 0.000, -2.667, -0.000, -0.000, 18.28
0, 0, 0.000, 0.294, 0.000, 2.165, 0.204, 0.000, 0.000, 0.000, -2.663, 0.000, -0.000, 18.27
0, 0, 0.000, 0.304, 0.000, 2.289, 0.227, 0.000, 0.000, 0.000, -2.820, 0.000, -0.000, 18.22
0, 0, 0.000, 0.314, 0.000, 2.416, 0.248, 0.000, 0.000, 0.000, -2.977, 0.000, -0.000, 18.16
0, 0, 0.000, 0.306, 0.000, 2.415, 0.250, 0.000, 0.000, 0.000, -2.971, 0.000, -0.000, 18.14
0, 0, 0.000, 0.315, 0.000, 2.545, 0.268, 0.000, 0.000, 0.000, -3.128, 0.000, 0.000, 18.09
0, 0, 0.000, 0.308, 0.000, 2.546, 0.269, 0.000, 0.000, 0.000, -3.122, 0.000, -0.000, 18.07
0, 0, 0.000, 0.316, 0.000, 2.676, 0.288, 0.000, 0.000, 0.000, -3.280, 0.000, -0.000, 18.01
0, 0, 0.000, 0.308, 0.000, 2.676, 0.289, 0.000, 0.000, 0.000, -3.273, 0.000, -0.000, 17.98
