hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.99, 18.99, -1492.73, 20.00, 4.63, -1.11, -2.70, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.74, 18.74, -1236.03, 20.00, 4.63, 5.00, 3.53, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.60, 18.60, -1168.16, 20.00, 4.63, 6.67, 5.24, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.48, 18.48, -1176.87, 20.00, 4.63, 6.67, 5.24, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.36, 18.36, -1213.52, 20.00, 4.63, 6.11, 4.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.25, 18.25, -1223.65, 20.00, 4.63, 6.11, 4.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.13, 18.13, -1258.22, 20.00, 4.63, 5.56, 4.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1186.49, 20.00, 4.63, 5.56, 4.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1181.11, 20.00, 4.63, 5.56, 4.13, 0.00, 1.89, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1054.22, 20.00, 4.63, 6.67, 5.24, 0.00, 17.05, 51.68, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -823.54, 20.00, 4.63, 7.78, 6.35, 24.78, 34.04, 42.28, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -907.55, 20.00, 4.63, 7.78, 6.38, 8.24, 24.86, 33.97, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -826.69, 20.00, 4.63, 8.33, 6.92, 1.90, 37.73, 28.05, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -766.86, 20.00, 4.63, 8.89, 7.45, 2.60, 41.51, 26.39, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -554.34, 20.00, 4.63, 9.44, 8.02, 64.22, 53.71, 29.75, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -627.11, 20.00, 4.63, 9.44, 8.02, 28.85, 41.21, 36.71, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -817.54, 20.00, 4.63, 8.89, 7.49, 0.00, 17.05, 45.52, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -919.03, 20.00, 4.63, 8.33, 6.92, 0.00, 3.79, 55.10, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -887.84, 20.00, 4.63, 8.33, 6.92, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -765.94, 20.00, 4.63, 7.78, 6.35, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -758.93, 20.00, 4.63, 7.78, 6.35, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -781.37, 20.00, 4.63, 7.22, 5.81, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -779.57, 20.00, 4.63, 7.22, 5.77, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.57, 19.57, -935.37, 20.00, 4.63, 6.67, 5.24, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.18, 19.18, -1079.94, 20.00, 4.63, 6.67, 5.20, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.87, 18.87, -1131.94, 20.00, 4.63, 6.11, 4.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.64, 18.64, -1151.68, 20.00, 4.63, 6.11, 4.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.43, 18.43, -1195.07, 20.00, 4.63, 5.56, 4.10, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.26, 18.26, -1209.96, 20.00, 4.63, 5.56, 4.10, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.11, 18.11, -1249.37, 20.00, 4.63, 5.00, 3.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.97, 17.97, -1257.03, 20.00, 4.63, 5.00, 3.53, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1213.08, 20.00, 4.63, 4.44, 2.99, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1214.86, 20.00, 4.63, 4.44, 2.99, 0.00, 0.95, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1145.49, 20.00, 4.63, 5.00, 3.56, 0.00, 10.42, 51.81, -51.47, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -1059.59, 20.00, 4.63, 5.56, 4.13, 0.00, 21.79, 42.41, -40.11, 74.86, 0, 0
2.00, 5.70, 20.00, 20.00, -763.95, 20.00, 4.63, 6.67, 5.24, 44.36, 48.20, 34.09, -27.16, 68.55, 0, 0
2.00, 5.70, 20.00, 20.00, -744.07, 20.00, 4.63, 7.22, 5.81, 24.61, 51.80, 28.16, -12.71, 64.66, 0, 0
2.00, 5.70, 20.00, 20.00, -812.95, 20.00, 4.63, 7.78, 6.35, 2.60, 36.77, 26.46, 2.60, 63.65, 0, 0
2.00, 5.70, 20.00, 20.00, -951.27, 20.00, 4.63, 7.22, 5.81, 0.00, 14.21, 29.78, 17.73, 65.67, 0, 0
2.00, 5.70, 20.00, 20.00, -995.72, 20.00, 4.63, 6.67, 5.24, 0.00, 8.53, 36.72, 31.71, 70.43, 0, 0
2.00, 5.70, 20.00, 20.00, -992.44, 20.00, 4.63, 6.67, 5.24, 0.00, 10.42, 45.51, 44.11, 77.43, 0, 0
2.00, 5.70, 20.00, 20.00, -1054.53, 20.00, 4.63, 6.11, 4.70, 0.00, 3.79, 55.08, 54.99, 86.09, 0, 0
2.00, 5.70, 20.00, 20.00, -1019.09, 20.00, 4.63, 6.11, 4.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -868.53, 20.00, 4.63, 6.11, 4.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -886.58, 20.00, 4.63, 5.56, 4.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -882.65, 20.00, 4.63, 5.56, 4.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -879.52, 20.00, 4.63, 5.56, 4.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.48, 19.48, -1010.20, 20.00, 4.63, 5.56, 4.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.03, 19.03, -1154.39, 20.00, 4.63, 5.56, 4.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.69, 18.69, -1179.30, 20.00, 4.63, 5.56, 4.10, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.44, 18.44, -1197.36, 20.00, 4.63, 5.56, 4.10, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.22, 18.22, -1239.43, 20.00, 4.63, 5.00, 3.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.05, 18.05, -1252.79, 20.00, 4.63, 5.00, 3.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.90, 17.90, -1258.56, 20.00, 4.63, 5.00, 3.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.78, 17.78, -1263.61, 20.00, 4.63, 5.00, 3.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1190.70, 20.00, 4.63, 5.00, 3.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1189.63, 20.00, 4.63, 5.00, 3.56, 0.00, 0.95, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1132.59, 20.00, 4.63, 5.56, 4.10, 0.00, 7.58, 51.94, -51.61, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -1006.10, 20.00, 4.63, 6.11, 4.67, 2.58, 25.37, 42.55, -40.24, 74.84, 0, 0
2.00, 5.70, 20.00, 20.00, -545.73, 20.00, 4.63, 7.78, 6.35, 96.60, 55.87, 34.22, -27.29, 68.50, 0, 0
2.00, 5.70, 20.00, 20.00, -568.39, 20.00, 4.63, 8.89, 7.45, 52.85, 55.88, 28.27, -12.84, 64.59, 0, 0
2.00, 5.70, 20.00, 20.00, -703.10, 20.00, 4.63, 8.89, 7.45, 2.60, 42.46, 26.55, 2.49, 63.56, 0, 0
2.00, 5.70, 20.00, 20.00, -622.94, 20.00, 4.63, 9.44, 7.99, 14.51, 48.12, 29.82, 17.64, 65.56, 0, 0
2.00, 5.70, 20.00, 20.00, -655.12, 20.00, 4.63, 9.44, 7.99, 8.01, 37.23, 36.73, 31.65, 70.31, 0, 0
2.00, 5.70, 20.00, 20.00, -809.85, 20.00, 4.63, 8.89, 7.42, 0.00, 13.26, 45.51, 44.08, 77.30, 0, 0
2.00, 5.70, 20.00, 20.00, -897.67, 20.00, 4.63, 8.33, 6.84, 0.00, 2.84, 55.07, 54.97, 85.96, 0, 0
2.00, 5.70, 20.00, 20.00, -888.42, 20.00, 4.63, 7.78, 6.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -741.23, 20.00, 4.63, 7.78, 6.27, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -761.02, 20.00, 4.63, 7.22, 5.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -785.68, 20.00, 4.63, 6.67, 5.17, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -785.49, 20.00, 4.63, 6.67, 5.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.50, 19.50, -944.69, 20.00, 4.63, 6.11, 4.60, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.06, 19.06, -1092.01, 20.00, 4.63, 6.11, 4.55, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.69, 18.69, -1174.21, 20.00, 4.63, 5.00, 3.45, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.38, 18.38, -1253.54, 20.00, 4.63, 3.89, 2.35, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.09, 18.09, -1331.93, 20.00, 4.63, 2.78, 1.25, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.83, 17.83, -1403.51, 20.00, 4.63, 1.67, 0.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.60, 17.60, -1445.32, 20.00, 4.63, 1.11, -0.46, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.38, 17.38, -1513.79, 20.00, 4.63, 0.00, -1.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1506.05, 20.00, 4.63, -1.11, -2.70, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1501.52, 20.00, 4.63, -1.11, -2.70, 0.00, 3.79, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1296.46, 20.00, 4.63, 0.56, -1.03, 0.00, 30.32, 52.08, -51.74, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -75.72, 20.00, 4.63, 3.33, 1.74, 286.61, 48.78, 42.68, -40.38, 74.81, 0, 0
2.00, 5.70, 20.17, 20.17, 168.54, 20.00, 4.63, 5.56, 3.98, 383.40, 70.07, 34.36, -27.43, 68.45, 0, 0
2.00, 5.70, 20.44, 20.44, 383.75, 20.00, 4.63, 7.22, 5.66, 464.67, 87.75, 28.39, -12.97, 64.52, 0, 0
2.00, 5.70, 20.95, 20.95, 833.88, 20.00, 4.63, 8.89, 7.29, 644.67, 90.70, 26.63, 2.38, 63.46, 0, 0
2.00, 5.70, 21.22, 21.22, 705.16, 20.00, 4.63, 9.44, 7.87, 507.73, 84.77, 29.87, 17.56, 65.44, 0, 0
2.00, 5.70, 21.27, 21.27, 474.27, 20.00, 4.63, 9.44, 7.87, 372.89, 64.44, 36.75, 31.60, 70.18, 0, 0
2.00, 5.70, 21.06, 21.06, 83.30, 20.00, 4.63, 8.33, 6.76, 217.50, 38.76, 45.51, 44.05, 77.17, 0, 0
2.00, 5.70, 20.49, 20.49, -571.57, 20.00, 4.63, 7.22, 5.62, 0.00, 18.00, 55.07, 54.96, 85.82, 0, 0
2.00, 5.70, 20.02, 20.02, -707.03, 20.00, 4.63, 6.11, 4.51, 0.00, 1.89, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -634.24, 20.00, 4.63, 5.56, 3.94, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -683.30, 20.00, 4.63, 5.00, 3.37, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -757.29, 20.00, 4.63, 3.89, 2.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -804.32, 20.00, 4.63, 3.33, 1.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.49, 19.49, -985.20, 20.00, 4.63, 2.78, 1.17, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.01, 19.01, -1178.26, 20.00, 4.63, 2.22, 0.60, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.62, 18.62, -1250.84, 20.00, 4.63, 1.67, 0.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.30, 18.30, -1316.14, 20.00, 4.63, 1.11, -0.55, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.00, 18.00, -1399.31, 20.00, 4.63, 0.00, -1.60, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.74, 17.74, -1449.82, 20.00, 4.63, -0.56, -2.17, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.51, 17.51, -1498.75, 20.00, 4.63, -1.11, -2.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.29, 17.29, -1546.64, 20.00, 4.63, -1.67, -3.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1515.94, 20.00, 4.63, -2.22, -3.88, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1533.91, 20.00, 4.63, -2.22, -3.84, 0.00, 3.79, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -938.51, 20.00, 4.63, -0.56, -2.22, 76.86, 20.75, 52.22, -51.89, 82.99, 0, 0
