hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.51, 18.51, -1735.77, 20.00, 4.63, -1.11, -13.69, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.07, 18.07, -1458.65, 20.00, 4.63, 5.00, -6.66, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.79, 17.79, -1380.94, 20.00, 4.63, 6.67, -4.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.55, 17.55, -1384.91, 20.00, 4.63, 6.67, -4.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.32, 17.32, -1418.94, 20.00, 4.63, 6.11, -5.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.12, 17.12, -1426.06, 20.00, 4.63, 6.11, -5.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1460.59, 20.00, 4.63, 5.56, -5.72, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1415.79, 20.00, 4.63, 5.56, -5.72, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1409.66, 20.00, 4.63, 5.56, -5.72, 0.00, 6.28, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1276.87, 20.00, 4.63, 6.67, -4.65, 0.00, 56.52, 83.01, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -1058.86, 20.00, 4.63, 7.78, -3.58, 15.64, 103.77, 74.87, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -1137.95, 20.00, 4.63, 7.78, -3.31, 5.76, 79.06, 68.58, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -1050.86, 20.00, 4.63, 8.33, -2.90, 1.35, 124.27, 64.72, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -993.38, 20.00, 4.63, 8.89, -2.50, 1.40, 136.78, 63.74, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -866.29, 20.00, 4.63, 9.44, -1.82, 40.13, 154.79, 65.77, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -901.22, 20.00, 4.63, 9.44, -1.82, 18.91, 125.65, 70.55, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -1063.32, 20.00, 4.63, 8.89, -2.23, 0.00, 56.52, 77.56, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -1168.28, 20.00, 4.63, 8.33, -2.90, 0.00, 12.56, 86.22, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -1131.01, 20.00, 4.63, 8.33, -2.90, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -993.73, 20.00, 4.63, 7.78, -3.58, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -984.26, 20.00, 4.63, 7.78, -3.58, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1005.97, 20.00, 4.63, 7.22, -3.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1003.14, 20.00, 4.63, 7.22, -4.25, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.35, 19.35, -1163.79, 20.00, 4.63, 6.67, -4.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.75, 18.75, -1314.17, 20.00, 4.63, 6.67, -4.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.25, 18.25, -1361.46, 20.00, 4.63, 6.11, -5.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.86, 17.86, -1375.61, 20.00, 4.63, 6.11, -5.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.52, 17.52, -1415.00, 20.00, 4.63, 5.56, -5.99, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.23, 17.23, -1425.43, 20.00, 4.63, 5.56, -5.99, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1462.34, 20.00, 4.63, 5.00, -6.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1472.07, 20.00, 4.63, 5.00, -6.66, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1451.67, 20.00, 4.63, 4.44, -7.05, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1452.30, 20.00, 4.63, 4.44, -7.05, 0.00, 3.14, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1378.66, 20.00, 4.63, 5.00, -6.39, 0.00, 34.54, 83.01, -51.47, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -1288.64, 20.00, 4.63, 5.56, -5.72, 0.00, 72.22, 74.86, -40.11, 74.86, 0, 0
2.00, 5.70, 20.00, 20.00, -1022.97, 20.00, 4.63, 6.67, -4.65, 31.15, 141.74, 68.55, -27.16, 68.55, 0, 0
2.00, 5.70, 20.00, 20.00, -997.98, 20.00, 4.63, 7.22, -3.98, 17.55, 161.54, 64.66, -12.71, 64.66, 0, 0
2.00, 5.70, 20.00, 20.00, -1050.36, 20.00, 4.63, 7.78, -3.58, 1.40, 121.07, 63.65, 2.60, 63.65, 0, 0
2.00, 5.70, 20.00, 20.00, -1194.02, 20.00, 4.63, 7.22, -3.98, 0.00, 47.10, 65.67, 17.73, 65.67, 0, 0
2.00, 5.70, 20.00, 20.00, -1240.57, 20.00, 4.63, 6.67, -4.65, 0.00, 28.26, 70.43, 31.71, 70.43, 0, 0
2.00, 5.70, 20.00, 20.00, -1236.98, 20.00, 4.63, 6.67, -4.65, 0.00, 34.54, 77.43, 44.11, 77.43, 0, 0
2.00, 5.70, 20.00, 20.00, -1301.50, 20.00, 4.63, 6.11, -5.06, 0.00, 12.56, 86.09, 54.99, 86.09, 0, 0
2.00, 5.70, 20.00, 20.00, -1261.11, 20.00, 4.63, 6.11, -5.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1095.13, 20.00, 4.63, 6.11, -5.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1112.62, 20.00, 4.63, 5.56, -5.72, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1108.23, 20.00, 4.63, 5.56, -5.72, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1104.95, 20.00, 4.63, 5.56, -5.72, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.25, 19.25, -1240.74, 20.00, 4.63, 5.56, -5.72, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.58, 18.58, -1391.49, 20.00, 4.63, 5.56, -5.72, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.05, 18.05, -1412.28, 20.00, 4.63, 5.56, -5.99, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.63, 17.63, -1425.89, 20.00, 4.63, 5.56, -5.99, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.27, 17.27, -1464.73, 20.00, 4.63, 5.00, -6.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1475.22, 20.00, 4.63, 5.00, -6.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1483.89, 20.00, 4.63, 5.00, -6.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1491.48, 20.00, 4.63, 5.00, -6.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1437.93, 20.00, 4.63, 5.00, -6.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1436.69, 20.00, 4.63, 5.00, -6.39, 0.00, 3.14, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1377.32, 20.00, 4.63, 5.56, -5.99, 0.00, 25.12, 83.01, -51.61, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -1247.47, 20.00, 4.63, 6.11, -5.32, 1.65, 83.14, 74.84, -40.24, 74.84, 0, 0
2.00, 5.70, 20.00, 20.00, -858.52, 20.00, 4.63, 7.78, -3.58, 68.20, 145.72, 68.50, -27.29, 68.50, 0, 0
2.00, 5.70, 20.00, 20.00, -869.87, 20.00, 4.63, 8.89, -2.50, 37.90, 163.29, 64.59, -12.84, 64.59, 0, 0
2.00, 5.70, 20.00, 20.00, -958.27, 20.00, 4.63, 8.89, -2.50, 1.40, 139.91, 63.56, 2.49, 63.56, 0, 0
2.00, 5.70, 20.00, 20.00, -893.67, 20.00, 4.63, 9.44, -2.10, 9.14, 154.20, 65.56, 17.64, 65.56, 0, 0
2.00, 5.70, 20.00, 20.00, -921.15, 20.00, 4.63, 9.44, -2.10, 5.31, 120.32, 70.31, 31.65, 70.31, 0, 0
2.00, 5.70, 20.00, 20.00, -1074.48, 20.00, 4.63, 8.89, -2.79, 0.00, 43.96, 77.30, 44.08, 77.30, 0, 0
2.00, 5.70, 20.00, 20.00, -1165.96, 20.00, 4.63, 8.33, -3.47, 0.00, 9.42, 85.96, 54.97, 85.96, 0, 0
2.00, 5.70, 20.00, 20.00, -1151.09, 20.00, 4.63, 7.78, -3.86, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -987.48, 20.00, 4.63, 7.78, -4.16, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1005.23, 20.00, 4.63, 7.22, -4.54, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1029.01, 20.00, 4.63, 6.67, -5.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1027.36, 20.00, 4.63, 6.67, -5.54, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.27, 19.27, -1190.72, 20.00, 4.63, 6.11, -5.91, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.60, 18.60, -1343.22, 20.00, 4.63, 6.11, -6.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.04, 18.04, -1421.00, 20.00, 4.63, 5.00, -7.28, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.56, 17.56, -1495.46, 20.00, 4.63, 3.89, -8.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.11, 17.11, -1569.12, 20.00, 4.63, 2.78, -9.35, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1643.35, 20.00, 4.63, 1.67, -10.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1688.67, 20.00, 4.63, 1.11, -11.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.00, 17.00, -1761.53, 20.00, 4.63, 0.00, -12.36, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
