hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.43, 18.43, -4093.51, 20.00, 4.63, 2.22, 2.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.43, 18.43, -3746.71, 20.00, 4.63, 9.44, 9.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.45, 18.45, -3624.73, 20.00, 4.63, 11.67, 11.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.43, 18.43, -3666.82, 20.00, 4.63, 11.11, 11.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.39, 18.39, -3726.46, 20.00, 4.63, 10.56, 10.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.34, 18.34, -3796.77, 20.00, 4.63, 10.00, 10.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4476.33, 20.00, 4.63, 10.00, 10.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4575.38, 20.00, 4.63, 9.44, 9.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4555.90, 20.00, 4.63, 9.44, 9.44, 0.00, 1.26, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4190.43, 20.00, 4.63, 10.56, 10.56, 0.00, 13.88, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -3682.51, 20.00, 4.63, 11.67, 11.67, 0.00, 39.75, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -3139.41, 20.00, 4.63, 13.33, 13.33, 0.00, 53.63, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -3130.45, 20.00, 4.63, 13.89, 13.89, 0.00, 37.22, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -3358.18, 20.00, 4.63, 13.33, 13.33, 0.00, 21.45, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 19.51, 19.51, -2831.27, 20.00, 4.63, 12.22, 12.22, 0.00, 6.94, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 19.28, 19.28, -2840.52, 20.00, 4.63, 12.22, 12.22, 0.00, 15.14, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 19.20, 19.20, -2728.66, 20.00, 4.63, 12.22, 12.22, 0.00, 16.40, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 19.05, 19.05, -3073.33, 20.00, 4.63, 11.67, 11.67, 0.00, 5.68, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 18.91, 18.91, -3246.26, 20.00, 4.63, 11.11, 11.11, 0.00, 0.63, 0.00, 0.00, 90.00, 0, 0
