hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.88, 18.88, -4260.84, 20.00, 4.63, 2.22, -4.04, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.85, 18.85, -3938.49, 20.00, 4.63, 9.44, 3.94, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.87, 18.87, -3828.87, 20.00, 4.63, 11.67, 6.40, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.84, 18.84, -3889.41, 20.00, 4.63, 11.11, 5.79, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.79, 18.79, -3972.10, 20.00, 4.63, 10.56, 5.29, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.73, 18.73, -4068.22, 20.00, 4.63, 10.00, 4.68, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -3926.46, 20.00, 4.63, 10.00, 4.68, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4009.91, 20.00, 4.63, 9.44, 4.07, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -3986.32, 20.00, 4.63, 9.44, 4.07, 0.00, 3.77, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -3599.84, 20.00, 4.63, 10.56, 5.17, 0.00, 41.48, 51.68, -51.34, 83.01, 0, 0
2.00, 5.70, 20.50, 20.50, -762.88, 20.00, 4.63, 11.67, 6.40, 326.73, 61.48, 42.28, -39.97, 74.87, 0, 0
2.00, 5.70, 20.80, 20.80, -600.93, 20.00, 4.63, 13.33, 8.00, 287.78, 97.28, 33.97, -27.02, 68.58, 0, 0
2.00, 5.70, 20.57, 20.57, -1773.45, 20.00, 4.63, 13.89, 8.62, 75.17, 93.16, 28.05, -12.58, 64.72, 0, 0
2.00, 5.70, 20.25, 20.25, -2487.90, 20.00, 4.63, 13.33, 8.00, 0.00, 64.11, 26.39, 2.71, 63.74, 0, 0
2.00, 5.70, 19.97, 19.97, -2589.26, 20.00, 4.63, 12.22, 6.89, 0.00, 20.74, 29.75, 17.81, 65.77, 0, 0
