Nombre espacio, Area(m2)
"P03_E09", 144.00
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
0, 0, -0.024, -0.000, 0.000, 0.000, -0.009, -0.206, 0.651, 0.790, -1.201, 0.000, -0.000, 18.36
0, 0, -0.109, -0.000, 0.000, 0.000, -0.034, -0.748, 0.617, 0.750, -0.645, 0.170, 0.000, 18.34
0, 0, -0.081, -0.000, 0.000, 0.000, -0.023, -0.507, 0.586, 0.712, -0.482, -0.205, -0.000, 18.36
0, 0, -0.117, -0.000, 0.000, 0.000, -0.033, -0.727, 0.556, 0.676, -0.521, 0.166, 0.000, 18.34
0, 0, -0.136, -0.000, 0.000, 0.000, -0.039, -0.853, 0.528, 0.642, -0.560, 0.418, 0.000, 18.30
0, 0, -0.145, -0.000, 0.000, 0.000, -0.042, -0.915, 0.501, 0.610, -0.597, 0.589, 0.000, 18.24
1, 1, -1.578, -0.001, 0.000, 0.000, -0.452, -9.847, 0.476, 5.247, -8.763, -17.583, -32.500, 20.00
1, 1, -1.528, -0.001, 0.000, 0.000, -0.443, -9.676, 0.452, 5.454, -9.268, 0.000, -15.010, 20.00
1, 1, -1.497, -0.001, 0.000, 0.000, -0.433, -9.447, 0.506, 5.603, -9.268, 0.000, -14.537, 20.00
1, 1, -1.483, -0.001, 0.000, 0.000, -0.403, -8.750, 1.267, 5.724, -8.260, 0.000, -11.906, 20.00
1, 1, -1.442, -0.001, 0.000, 0.000, -0.364, -7.684, 2.737, 5.829, -7.260, 0.000, -8.183, 20.00
1, 1, -1.408, -0.000, 0.000, 0.000, -0.320, -6.636, 3.756, 5.926, -5.774, 0.000, -4.457, 20.00
1, 1, -1.402, -0.000, 0.000, 0.000, -0.308, -6.510, 3.116, 6.015, -5.283, 0.000, -4.373, 20.00
1, 1, -1.398, -0.000, 0.000, 0.000, -0.319, -6.814, 2.299, 6.099, -5.774, 0.000, -5.907, 20.00
0, 0, -0.985, -0.000, 0.000, 0.000, -0.242, -5.210, 1.410, 1.510, -0.530, 4.047, -0.000, 19.60
0, 0, -0.762, -0.000, 0.000, 0.000, -0.186, -4.002, 1.873, 1.348, -0.514, 2.242, -0.000, 19.37
0, 0, -0.673, -0.000, 0.000, 0.000, -0.164, -3.473, 2.705, 1.242, -0.507, 0.870, -0.000, 19.28
