hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 18.04, 18.04, -4164.96, 20.00, 4.63, 2.22, -10.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.02, 18.02, -3811.27, 20.00, 4.63, 9.44, -1.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.03, 18.03, -3684.16, 20.00, 4.63, 11.67, 1.13, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.01, 18.01, -3727.02, 20.00, 4.63, 11.11, 0.46, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.97, 17.97, -3788.51, 20.00, 4.63, 10.56, 0.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.91, 17.91, -3861.29, 20.00, 4.63, 10.00, -0.64, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4080.30, 20.00, 4.63, 10.00, -0.64, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4166.31, 20.00, 4.63, 9.44, -1.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4148.31, 20.00, 4.63, 9.44, -1.31, 0.00, 6.28, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -3800.33, 20.00, 4.63, 10.56, -0.21, 0.00, 69.08, 83.01, -51.34, 83.01, 0, 0
2.00, 5.70, 20.02, 20.02, -1514.84, 20.00, 4.63, 11.67, 1.13, 115.27, 83.22, 74.87, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -2213.29, 20.00, 4.63, 13.33, 2.67, 126.71, 140.93, 68.58, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -2625.44, 20.00, 4.63, 13.89, 3.35, 36.37, 149.11, 64.72, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -2922.10, 20.00, 4.63, 13.33, 2.67, 0.00, 106.77, 63.74, 2.71, 63.74, 0, 0
2.00, 5.70, 19.51, 19.51, -2706.86, 20.00, 4.63, 12.22, 1.57, 0.00, 34.54, 65.77, 17.81, 65.77, 0, 0
2.00, 5.70, 19.24, 19.24, -2749.83, 20.00, 4.63, 12.22, 1.57, 1.05, 74.32, 70.55, 31.77, 70.55, 0, 0
2.00, 5.70, 19.06, 19.06, -2811.12, 20.00, 4.63, 12.22, 1.57, 6.12, 75.56, 77.56, 44.15, 77.56, 0, 0
2.00, 5.70, 18.87, 18.87, -3054.34, 20.00, 4.63, 11.67, 0.89, 0.00, 28.26, 86.22, 55.01, 86.22, 0, 0
2.00, 5.70, 18.69, 18.69, -3244.34, 20.00, 4.63, 11.11, 0.46, 0.00, 3.14, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.55, 18.55, -3337.26, 20.00, 4.63, 11.11, 0.46, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.42, 18.42, -3443.98, 20.00, 4.63, 10.56, -0.21, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.32, 18.32, -3508.62, 20.00, 4.63, 10.56, -0.21, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.22, 18.22, -3602.53, 20.00, 4.63, 10.00, -0.88, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.13, 18.13, -3659.70, 20.00, 4.63, 10.00, -0.88, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.05, 18.05, -3711.33, 20.00, 4.63, 10.00, -0.88, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.97, 17.97, -3797.00, 20.00, 4.63, 9.44, -1.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.88, 17.88, -3887.26, 20.00, 4.63, 8.89, -1.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.78, 17.78, -3981.04, 20.00, 4.63, 8.33, -2.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.68, 17.68, -4077.60, 20.00, 4.63, 7.78, -3.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 17.59, 17.59, -4138.36, 20.00, 4.63, 7.78, -3.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4570.28, 20.00, 4.63, 7.22, -3.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4666.35, 20.00, 4.63, 6.67, -4.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4656.69, 20.00, 4.63, 6.67, -4.39, 0.00, 6.28, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -4329.04, 20.00, 4.63, 7.78, -3.31, 0.00, 62.80, 83.01, -51.47, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -2618.14, 20.00, 4.63, 9.44, -1.56, 76.64, 93.37, 74.86, -40.11, 74.86, 0, 0
2.00, 5.70, 20.00, 20.00, -2843.91, 20.00, 4.63, 11.11, 0.21, 102.68, 145.98, 68.55, -27.16, 68.55, 0, 0
2.00, 5.70, 20.00, 20.00, -3141.28, 20.00, 4.63, 11.67, 0.63, 33.75, 145.43, 64.66, -12.71, 64.66, 0, 0
2.00, 5.70, 20.00, 20.00, -3082.66, 20.00, 4.63, 11.67, 0.89, 29.40, 174.88, 63.65, 2.60, 63.65, 0, 0
2.00, 5.70, 19.61, 19.61, -2332.80, 20.00, 4.63, 12.22, 1.31, 28.60, 172.54, 65.67, 17.73, 65.67, 0, 0
2.00, 5.70, 19.40, 19.40, -2348.62, 20.00, 4.63, 12.22, 1.31, 95.08, 125.28, 70.43, 31.71, 70.43, 0, 0
2.00, 5.70, 19.19, 19.19, -2592.00, 20.00, 4.63, 12.22, 1.31, 52.86, 79.33, 77.43, 44.11, 77.43, 0, 0
2.00, 5.70, 18.92, 18.92, -3016.16, 20.00, 4.63, 11.11, 0.21, 0.00, 31.40, 86.09, 54.99, 86.09, 0, 0
2.00, 5.70, 18.68, 18.68, -3260.43, 20.00, 4.63, 10.56, -0.21, 0.00, 3.14, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.50, 18.50, -3384.53, 20.00, 4.63, 10.56, -0.46, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.34, 18.34, -3511.75, 20.00, 4.63, 10.00, -0.88, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.22, 18.22, -3590.50, 20.00, 4.63, 10.00, -0.88, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.10, 18.10, -3694.42, 20.00, 4.63, 9.44, -1.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 18.00, 18.00, -3758.90, 20.00, 4.63, 9.44, -1.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
