BDCAIREAGUA,BDCAIREAGUA,BDCAIREAGUA,BDCAIREAGUA,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR
SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto
ConsumoACS,ConsumoCAL,ConsumoREF,Energía Suministrada,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Consumo horario en W asociado a refrigeración,Energía Suministrada en W,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración
Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad
175.36 ,  0.00 ,  0.00 , 458.80 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
145.44 ,  0.00 ,  0.00 , 458.80 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
