hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 21.52, 21.52, -905.09, 20.00, 4.63, 3.33, 3.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.34, 21.34, -500.59, 20.00, 4.63, 12.22, 12.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.26, 21.26, -376.74, 20.00, 4.63, 15.00, 15.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.16, 21.16, -414.41, 20.00, 4.63, 14.44, 14.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.04, 21.04, -453.91, 20.00, 4.63, 13.89, 13.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.90, 20.90, -493.84, 20.00, 4.63, 13.33, 13.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.75, 20.75, -534.51, 20.00, 4.63, 12.78, 12.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.59, 20.59, -568.31, 20.00, 4.63, 12.22, 12.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.44, 20.44, -564.23, 20.00, 4.63, 12.22, 12.22, 0.00, 1.89, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.42, 20.42, -405.54, 20.00, 4.63, 13.33, 13.33, 0.00, 15.77, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 20.49, 20.49, -260.89, 20.00, 4.63, 14.44, 14.44, 0.00, 41.64, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 20.66, 20.66, -62.34, 20.00, 4.63, 16.11, 16.11, 0.00, 61.20, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 20.95, 20.95, 162.30, 20.00, 4.63, 17.78, 17.78, 0.00, 85.80, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 21.26, 21.26, 270.01, 20.00, 4.63, 18.33, 18.33, 0.00, 77.60, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 21.54, 21.54, 307.07, 20.00, 4.63, 18.89, 18.89, 0.00, 63.09, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 21.77, 21.77, 289.25, 20.00, 4.63, 18.33, 18.33, 0.00, 47.95, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 21.90, 21.90, 183.26, 20.00, 4.63, 17.78, 17.78, 0.00, 25.87, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 21.90, 21.90, 10.07, 20.00, 4.63, 17.22, 17.22, 0.00, 6.94, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 21.89, 21.89, -44.66, 20.00, 4.63, 16.11, 16.11, 0.00, 0.63, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.01, 22.01, 132.79, 20.00, 4.63, 16.11, 16.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.11, 22.11, 109.76, 20.00, 4.63, 15.56, 15.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.18, 22.18, 81.73, 20.00, 4.63, 15.00, 15.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.22, 22.22, 50.60, 20.00, 4.63, 14.44, 14.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.14, 22.14, -139.19, 20.00, 4.63, 13.89, 13.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.95, 21.95, -330.45, 20.00, 4.63, 13.89, 13.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.75, 21.75, -399.24, 20.00, 4.63, 13.33, 13.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.55, 21.55, -460.75, 20.00, 4.63, 12.78, 12.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.34, 21.34, -516.79, 20.00, 4.63, 12.22, 12.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.13, 21.13, -569.54, 20.00, 4.63, 11.67, 11.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
