hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 22.16, 22.16, -207.18, 20.00, 4.63, 3.33, 2.14, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.07, 22.07, -94.84, 20.00, 4.63, 12.22, 11.14, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.05, 22.05, -64.13, 20.00, 4.63, 15.00, 13.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.00, 22.00, -80.16, 20.00, 4.63, 14.44, 13.38, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.93, 21.93, -96.49, 20.00, 4.63, 13.89, 12.81, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.85, 21.85, -113.02, 20.00, 4.63, 13.33, 12.27, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.77, 21.77, -129.74, 20.00, 4.63, 12.78, 11.70, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.68, 21.68, -144.38, 20.00, 4.63, 12.22, 11.16, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.60, 21.60, -150.43, 20.00, 4.63, 12.22, 11.16, 0.00, 2.68, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.57, 21.57, -127.06, 20.00, 4.63, 13.33, 12.27, 0.00, 22.32, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 21.60, 21.60, -88.36, 20.00, 4.63, 14.44, 13.38, 0.00, 47.39, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 21.69, 21.69, -36.28, 20.00, 4.63, 16.11, 15.04, 0.00, 68.79, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 21.84, 21.84, 25.83, 20.00, 4.63, 17.78, 16.72, 0.00, 94.86, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 21.99, 21.99, 54.36, 20.00, 4.63, 18.33, 17.27, 0.00, 89.68, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 22.12, 22.12, 71.60, 20.00, 4.63, 18.89, 17.83, 0.00, 74.23, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 22.22, 22.22, 73.38, 20.00, 4.63, 18.33, 17.29, 0.00, 56.08, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 22.27, 22.27, 56.73, 20.00, 4.63, 17.78, 16.72, 0.00, 32.16, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 22.27, 22.27, 32.02, 20.00, 4.63, 17.22, 16.15, 0.00, 9.82, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 22.28, 22.28, 29.06, 20.00, 4.63, 16.11, 15.04, 0.00, 0.89, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.39, 22.39, 91.60, 20.00, 4.63, 16.11, 15.04, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.47, 22.47, 91.62, 20.00, 4.63, 15.56, 14.49, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.53, 22.53, 88.34, 20.00, 4.63, 15.00, 13.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.57, 22.57, 82.84, 20.00, 4.63, 14.44, 13.36, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.51, 22.51, 25.05, 20.00, 4.63, 13.89, 12.81, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.39, 22.39, -37.63, 20.00, 4.63, 13.89, 12.79, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.27, 22.27, -63.31, 20.00, 4.63, 13.33, 12.25, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.15, 22.15, -86.34, 20.00, 4.63, 12.78, 11.68, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.03, 22.03, -107.79, 20.00, 4.63, 12.22, 11.14, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.91, 21.91, -128.30, 20.00, 4.63, 11.67, 10.57, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.79, 21.79, -148.24, 20.00, 4.63, 11.11, 10.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.67, 21.67, -167.83, 20.00, 4.63, 10.56, 9.46, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.54, 21.54, -185.01, 20.00, 4.63, 10.00, 8.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.44, 21.44, -193.22, 20.00, 4.63, 10.00, 8.89, 0.00, 2.68, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.38, 21.38, -168.22, 20.00, 4.63, 11.11, 10.02, 0.00, 27.67, 0.00, -51.47, 83.01, 0, 0
2.00, 5.70, 21.43, 21.43, -108.35, 20.00, 4.63, 13.33, 12.25, 0.00, 55.77, 0.00, -40.11, 74.86, 0, 0
2.00, 5.70, 21.53, 21.53, -52.60, 20.00, 4.63, 15.00, 13.90, 0.00, 77.60, 0.00, -27.16, 68.55, 0, 0
2.00, 5.70, 21.63, 21.63, -28.06, 20.00, 4.63, 15.56, 14.47, 0.00, 76.66, 0.00, -12.71, 64.66, 0, 0
2.00, 5.70, 21.71, 21.71, -20.97, 20.00, 4.63, 15.56, 14.47, 0.00, 69.45, 0.00, 2.60, 63.65, 0, 0
