hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 24.51, 24.51, -133.52, 20.00, 4.63, 3.33, 1.46, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.32, 24.32, -28.93, 20.00, 4.63, 12.22, 10.52, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.21, 24.21, -1.27, 20.00, 4.63, 15.00, 13.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.07, 24.07, -20.20, 20.00, 4.63, 14.44, 12.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.92, 23.92, -39.07, 20.00, 4.63, 13.89, 12.20, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.74, 23.74, -58.01, 20.00, 4.63, 13.33, 11.66, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.55, 23.55, -77.16, 20.00, 4.63, 12.78, 11.09, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.35, 23.35, -93.51, 20.00, 4.63, 12.22, 10.55, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.16, 23.16, -100.07, 20.00, 4.63, 12.22, 10.55, 0.00, 3.13, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.05, 23.05, -67.31, 20.00, 4.63, 13.33, 11.66, 0.00, 26.05, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 23.03, 23.03, -13.37, 20.00, 4.63, 14.44, 12.78, 0.00, 50.66, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 23.12, 23.12, 57.80, 20.00, 4.63, 16.11, 14.43, 0.00, 73.11, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 23.33, 23.33, 143.72, 20.00, 4.63, 17.78, 16.12, 0.00, 100.02, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 23.57, 23.57, 185.58, 20.00, 4.63, 18.33, 16.66, 0.00, 96.56, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 23.81, 23.81, 207.25, 20.00, 4.63, 18.89, 17.23, 0.00, 80.58, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 24.03, 24.03, 209.64, 20.00, 4.63, 18.33, 16.69, 0.00, 60.71, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 24.18, 24.18, 185.04, 20.00, 4.63, 17.78, 16.12, 0.00, 35.74, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 24.25, 24.25, 147.03, 20.00, 4.63, 17.22, 15.54, 0.00, 11.46, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 24.33, 24.33, 142.35, 20.00, 4.63, 16.11, 14.43, 0.00, 1.04, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.55, 24.55, 225.25, 20.00, 4.63, 16.11, 14.43, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.74, 24.74, 228.50, 20.00, 4.63, 15.56, 13.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
