hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 23.06, 23.06, -1046.50, 20.00, 4.63, 3.33, -8.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.74, 22.74, -565.98, 20.00, 4.63, 12.22, 1.80, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.56, 22.56, -413.67, 20.00, 4.63, 15.00, 4.71, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.38, 22.38, -452.15, 20.00, 4.63, 14.44, 4.26, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.20, 22.20, -494.99, 20.00, 4.63, 13.89, 3.59, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.01, 22.01, -539.30, 20.00, 4.63, 13.33, 3.14, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.83, 21.83, -585.18, 20.00, 4.63, 12.78, 2.47, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.65, 21.65, -623.40, 20.00, 4.63, 12.22, 2.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.51, 21.51, -615.94, 20.00, 4.63, 12.22, 2.03, 0.00, 9.42, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.49, 21.49, -418.65, 20.00, 4.63, 13.33, 3.14, 0.00, 78.50, 83.01, -51.34, 83.01, 0, 0
2.00, 5.70, 22.09, 22.09, 657.57, 20.00, 4.63, 14.44, 4.26, 111.15, 96.73, 74.87, -39.97, 74.87, 0, 0
2.00, 5.70, 22.90, 22.90, 1246.85, 20.00, 4.63, 16.11, 5.83, 171.63, 133.95, 68.58, -27.02, 68.58, 0, 0
2.00, 5.70, 24.01, 24.01, 2047.78, 20.00, 4.63, 17.78, 7.64, 255.95, 172.57, 64.72, -12.58, 64.72, 0, 0
2.00, 5.70, 24.79, 24.79, 1855.62, 20.00, 4.63, 18.33, 8.09, 194.01, 193.34, 63.74, 2.71, 63.74, 0, 0
2.00, 5.70, 25.29, 25.29, 1618.39, 20.00, 4.63, 18.89, 8.78, 144.99, 169.86, 65.77, 17.81, 65.77, 0, 0
2.00, 5.70, 25.62, 25.62, 1429.96, 20.00, 4.63, 18.33, 8.33, 113.43, 125.87, 70.55, 31.77, 70.55, 0, 0
