hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 23.06, 23.06, -1046.50, 20.00, 4.63, 3.33, -1.50, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.74, 22.74, -565.98, 20.00, 4.63, 12.22, 7.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.56, 22.56, -413.67, 20.00, 4.63, 15.00, 10.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.38, 22.38, -452.15, 20.00, 4.63, 14.44, 10.14, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.20, 22.20, -494.99, 20.00, 4.63, 13.89, 9.54, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.01, 22.01, -539.30, 20.00, 4.63, 13.33, 9.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.83, 21.83, -585.18, 20.00, 4.63, 12.78, 8.42, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.65, 21.65, -623.40, 20.00, 4.63, 12.22, 7.91, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.51, 21.51, -615.94, 20.00, 4.63, 12.22, 7.91, 0.00, 5.07, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.49, 21.49, -418.65, 20.00, 4.63, 13.33, 9.03, 0.00, 42.29, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 22.09, 22.09, 657.57, 20.00, 4.63, 14.44, 10.14, 0.00, 64.93, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 22.90, 22.90, 1246.85, 20.00, 4.63, 16.11, 11.77, 0.00, 91.95, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 24.01, 24.01, 2047.78, 20.00, 4.63, 17.78, 13.49, 0.00, 122.48, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 24.79, 24.79, 1855.62, 20.00, 4.63, 18.33, 14.00, 0.00, 126.52, 87.57, 2.71, 63.74, 0, 0
2.00, 5.70, 25.29, 25.29, 1618.39, 20.00, 4.63, 18.89, 14.62, 0.00, 108.22, 73.80, 17.81, 65.77, 0, 0
2.00, 5.70, 25.62, 25.62, 1429.96, 20.00, 4.63, 18.33, 14.10, 0.00, 80.89, 60.23, 31.77, 70.55, 0, 0
2.00, 5.70, 25.56, 25.56, 840.02, 20.00, 4.63, 17.78, 13.49, 16.96, 51.36, 47.14, 44.15, 77.56, 0, 0
2.00, 5.70, 25.16, 25.16, 188.79, 20.00, 4.63, 17.22, 12.88, 0.00, 18.61, 35.17, 55.01, 86.22, 0, 0
2.00, 5.70, 24.79, 24.79, 52.58, 20.00, 4.63, 16.11, 11.77, 0.00, 1.69, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.61, 24.61, 222.01, 20.00, 4.63, 16.11, 11.77, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.44, 24.44, 172.44, 20.00, 4.63, 15.56, 11.26, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.27, 24.27, 125.16, 20.00, 4.63, 15.00, 10.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 24.12, 24.12, 79.91, 20.00, 4.63, 14.44, 10.04, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.86, 23.86, -143.69, 20.00, 4.63, 13.89, 9.54, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.53, 23.53, -362.02, 20.00, 4.63, 13.89, 9.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.22, 23.22, -432.85, 20.00, 4.63, 13.33, 8.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.93, 22.93, -494.42, 20.00, 4.63, 12.78, 8.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.66, 22.66, -550.42, 20.00, 4.63, 12.22, 7.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.40, 22.40, -604.09, 20.00, 4.63, 11.67, 7.21, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.15, 22.15, -656.20, 20.00, 4.63, 11.11, 6.61, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.92, 21.92, -706.90, 20.00, 4.63, 10.56, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.69, 21.69, -747.75, 20.00, 4.63, 10.00, 5.50, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.50, 21.50, -742.50, 20.00, 4.63, 10.00, 5.50, 0.00, 5.07, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.47, 21.47, -509.49, 20.00, 4.63, 11.11, 6.71, 0.00, 52.44, 0.00, -51.47, 83.01, 0, 0
2.00, 5.70, 22.28, 22.28, 946.33, 20.00, 4.63, 13.33, 8.93, 0.00, 71.94, 0.00, -40.11, 74.86, 0, 0
2.00, 5.70, 23.26, 23.26, 1551.30, 20.00, 4.63, 15.00, 10.55, 0.00, 98.78, 0.00, -27.16, 68.55, 0, 0
2.00, 5.70, 23.78, 23.78, 1110.12, 20.00, 4.63, 15.56, 11.16, 0.00, 118.09, 0.00, -12.71, 64.66, 0, 0
2.00, 5.70, 23.95, 23.95, 661.66, 20.00, 4.63, 15.56, 11.16, 0.00, 121.57, 87.67, 2.60, 63.65, 0, 0
2.00, 5.70, 23.89, 23.89, 300.75, 20.00, 4.63, 15.00, 10.65, 0.00, 94.34, 73.89, 17.73, 65.67, 0, 0
2.00, 5.70, 23.99, 23.99, 510.19, 20.00, 4.63, 15.00, 10.65, 0.00, 83.65, 60.31, 31.71, 70.43, 0, 0
2.00, 5.70, 24.13, 24.13, 613.77, 20.00, 4.63, 14.44, 10.14, 23.09, 54.41, 47.21, 44.11, 77.43, 0, 0
2.00, 5.70, 23.84, 23.84, -111.47, 20.00, 4.63, 13.89, 9.54, 0.00, 25.37, 35.20, 54.99, 86.09, 0, 0
2.00, 5.70, 23.55, 23.55, -213.52, 20.00, 4.63, 13.33, 9.03, 0.00, 1.69, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.44, 23.44, -31.31, 20.00, 4.63, 13.33, 8.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.32, 23.32, -73.68, 20.00, 4.63, 12.78, 8.42, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.22, 23.22, -82.65, 20.00, 4.63, 12.78, 8.42, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.13, 23.13, -89.44, 20.00, 4.63, 12.78, 8.42, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.93, 22.93, -309.36, 20.00, 4.63, 12.22, 7.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.64, 22.64, -524.80, 20.00, 4.63, 12.22, 7.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.39, 22.39, -560.61, 20.00, 4.63, 12.22, 7.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.14, 22.14, -619.22, 20.00, 4.63, 11.67, 7.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.92, 21.92, -639.83, 20.00, 4.63, 11.67, 7.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.73, 21.73, -656.12, 20.00, 4.63, 11.67, 7.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.56, 21.56, -670.29, 20.00, 4.63, 11.67, 7.21, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.40, 21.40, -681.78, 20.00, 4.63, 11.67, 7.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
