Nombre espacio, Area(m2)
"P04_E03", 75.94
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 0, 1.123, 0.000, 0.716, 0.000, 0.344, 0.828, 1.405, 3.742, -8.157, 0.000, 0.000, 22.81
1, 0, -1.780, 0.000, -1.603, 0.000, -0.550, -1.281, 1.322, 3.497, -4.172, 4.568, -0.000, 22.50
1, 0, -1.343, 0.000, -1.444, 0.000, -0.418, -0.953, 1.252, 3.356, -2.948, 2.500, 0.000, 22.34
1, 0, -1.257, 0.000, -1.332, 0.000, -0.391, -0.898, 1.192, 3.267, -3.110, 2.528, 0.000, 22.17
1, 0, -1.190, 0.000, -1.219, 0.000, -0.370, -0.855, 1.140, 3.208, -3.271, 2.557, -0.000, 22.00
1, 0, -1.127, 0.000, -1.112, 0.000, -0.350, -0.816, 1.094, 3.166, -3.433, 2.579, -0.000, 21.82
1, 0, -1.070, 0.000, -1.014, 0.000, -0.332, -0.780, 1.052, 3.134, -3.594, 2.604, -0.000, 21.65
1, 0, -1.020, 0.000, -0.928, 0.000, -0.316, -0.747, 1.014, 3.199, -3.757, 2.556, -0.000, 21.48
1, 0, -0.932, 0.000, -0.848, 0.000, -0.288, -0.680, 1.126, 3.187, -3.700, 2.134, 0.000, 21.34
1, 0, -0.779, 0.000, -0.803, 0.000, -0.237, -0.530, 2.193, 3.176, -3.230, 0.212, 0.000, 21.32
1, 0, -0.859, 0.000, -1.611, 0.000, -0.294, 0.410, 11.263, 3.165, -3.014, -9.060, -0.000, 21.93
1, 0, -0.987, 0.000, -3.089, 0.000, -0.311, 0.368, 14.993, 3.156, -2.636, -11.495, -0.000, 22.69
1, 0, -1.068, -0.000, -4.358, 0.000, -0.195, -0.357, 20.232, 3.147, -2.357, -15.045, -0.000, 23.70
1, 0, -1.470, -0.000, -5.348, 0.000, -0.233, -1.260, 17.853, 3.139, -2.404, -10.277, -0.000, 24.38
1, 0, -1.543, -0.000, -6.065, 0.000, -0.277, -1.662, 15.432, 3.132, -2.355, -6.663, -0.000, 24.83
1, 0, -1.754, -0.000, -6.396, 0.000, -0.405, -1.782, 13.682, 3.458, -2.689, -4.114, 0.000, 25.10
1, 0, -2.234, -0.000, -6.433, 0.000, -0.652, -1.251, 9.208, 3.481, -2.895, 0.775, -0.000, 25.05
1, 0, -2.878, -0.000, -5.246, 0.000, -0.880, -1.052, 4.261, 3.493, -2.981, 5.284, -0.000, 24.70
1, 0, -2.778, -0.000, -4.065, 0.000, -0.862, -1.502, 2.985, 4.586, -3.306, 4.941, -0.000, 24.37
1, 0, -2.673, 0.000, -3.684, 0.000, -0.834, -1.592, 2.406, 7.403, -3.246, 2.220, -0.000, 24.22
1, 0, -2.638, 0.000, -3.332, 0.000, -0.823, -1.672, 2.062, 7.702, -3.419, 2.120, -0.000, 24.08
1, 0, -2.607, 0.000, -3.030, 0.000, -0.813, -1.719, 1.826, 7.884, -3.594, 2.053, 0.000, 23.94
1, 0, -2.577, 0.000, -2.770, 0.000, -0.803, -1.747, 1.654, 8.006, -3.771, 2.008, 0.000, 23.81
1, 0, -2.403, 0.000, -2.403, 0.000, -0.748, -1.662, 1.524, 6.042, -3.906, 3.556, -0.000, 23.57
1, 0, -2.063, 0.000, -1.996, 0.000, -0.642, -1.443, 1.422, 3.754, -3.779, 4.747, -0.000, 23.25
1, 0, -1.838, 0.000, -1.674, 0.000, -0.571, -1.301, 1.338, 3.508, -3.891, 4.429, 0.000, 22.96
1, 0, -1.654, 0.000, -1.421, 0.000, -0.514, -1.184, 1.268, 3.367, -4.012, 4.150, 0.000, 22.68
1, 0, -1.497, 0.000, -1.218, 0.000, -0.464, -1.081, 1.208, 3.278, -4.139, 3.913, 0.000, 22.42
1, 0, -1.362, 0.000, -1.053, 0.000, -0.422, -0.991, 1.155, 3.218, -4.272, 3.727, 0.000, 22.17
1, 0, -1.243, 0.000, -0.916, 0.000, -0.385, -0.910, 1.109, 3.176, -4.410, 3.580, -0.000, 21.93
1, 0, -1.134, 0.000, -0.801, 0.000, -0.350, -0.835, 1.066, 3.144, -4.551, 3.461, -0.000, 21.70
1, 0, -1.037, 0.000, -0.704, 0.000, -0.320, -0.767, 1.028, 3.208, -4.697, 3.289, 0.000, 21.48
1, 0, -0.911, 0.000, -0.617, 0.000, -0.281, -0.672, 1.139, 3.196, -4.622, 2.767, 0.000, 21.30
1, 0, -0.729, 0.000, -0.557, 0.000, -0.221, -0.500, 2.500, 3.185, -4.139, 0.461, 0.000, 21.27
1, 0, -0.890, 0.000, -1.483, 0.000, -0.316, 0.779, 14.443, 3.174, -3.536, -12.170, -0.000, 22.08
1, 0, -1.154, 0.000, -2.972, 0.000, -0.363, 0.281, 18.152, 3.164, -3.218, -13.890, 0.000, 23.01
1, 0, -1.778, -0.000, -3.735, 0.000, -0.483, -0.410, 13.460, 3.155, -3.177, -7.032, 0.000, 23.48
1, 0, -2.243, -0.000, -3.895, 0.000, -0.613, -0.465, 9.513, 3.147, -3.236, -2.207, 0.000, 23.62
1, 0, -2.441, 0.000, -3.500, 0.000, -0.700, -0.676, 6.794, 3.140, -3.443, 0.826, 0.000, 23.57
1, 0, -2.367, 0.000, -3.562, 0.000, -0.678, -0.471, 8.190, 3.465, -3.473, -1.103, -0.000, 23.64
1, 0, -2.452, 0.000, -3.566, 0.000, -0.731, -0.519, 9.268, 3.488, -3.750, -1.738, 0.000, 23.76
1, 0, -2.538, 0.000, -2.749, 0.000, -0.772, -1.417, 3.727, 3.500, -3.871, 4.120, -0.000, 23.48
1, 0, -2.384, 0.000, -2.301, 0.000, -0.735, -1.537, 2.473, 4.593, -3.998, 3.889, -0.000, 23.22
1, 0, -2.349, 0.000, -2.189, 0.000, -0.727, -1.583, 2.005, 7.410, -3.960, 1.392, 0.000, 23.13
1, 0, -2.348, 0.000, -2.067, 0.000, -0.726, -1.629, 1.734, 7.708, -4.153, 1.482, -0.000, 23.03
1, 0, -2.293, 0.000, -1.975, 0.000, -0.710, -1.615, 1.550, 7.890, -4.119, 1.272, 0.000, 22.95
1, 0, -2.245, 0.000, -1.900, 0.000, -0.695, -1.598, 1.416, 8.012, -4.089, 1.100, 0.000, 22.87
1, 0, -2.098, 0.000, -1.695, 0.000, -0.650, -1.510, 1.313, 6.047, -4.246, 2.838, 0.000, 22.68
1, 0, -1.778, 0.000, -1.416, 0.000, -0.551, -1.288, 1.232, 3.760, -4.133, 4.174, -0.000, 22.41
1, 0, -1.532, 0.000, -1.208, 0.000, -0.474, -1.115, 1.164, 3.514, -4.033, 3.684, 0.000, 22.16
1, 0, -1.375, 0.000, -1.046, 0.000, -0.426, -1.008, 1.107, 3.372, -4.171, 3.546, 0.000, 21.92
