hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 19.66, 19.66, -1185.60, 20.00, 4.63, -0.56, -3.25, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.61, 19.61, -872.96, 20.00, 4.63, 7.22, 4.87, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.60, 19.60, -793.14, 20.00, 4.63, 9.44, 7.19, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.57, 19.57, -831.59, 20.00, 4.63, 8.89, 6.61, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.51, 19.51, -870.58, 20.00, 4.63, 8.33, 6.08, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.45, 19.45, -884.37, 20.00, 4.63, 8.33, 6.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.37, 19.37, -947.14, 20.00, 4.63, 7.22, 4.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -948.55, 20.00, 4.63, 7.22, 4.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -954.06, 20.00, 4.63, 7.22, 4.93, 0.00, 2.29, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -869.87, 20.00, 4.63, 8.33, 6.03, 0.00, 28.62, 51.68, -51.34, 83.01, 0, 0
2.00, 5.70, 20.10, 20.10, -295.83, 20.00, 4.63, 10.00, 7.72, 318.36, 50.46, 42.28, -39.97, 74.87, 0, 0
2.00, 5.70, 20.30, 20.30, -55.04, 20.00, 4.63, 11.67, 9.41, 343.12, 73.31, 33.97, -27.02, 68.58, 0, 0
2.00, 5.70, 20.31, 20.31, -282.59, 20.00, 4.63, 12.22, 9.99, 112.47, 61.80, 28.05, -12.58, 64.72, 0, 0
2.00, 5.70, 20.22, 20.22, -476.63, 20.00, 4.63, 11.67, 9.41, 5.13, 42.94, 26.39, 2.71, 63.74, 0, 0
2.00, 5.70, 20.10, 20.10, -571.14, 20.00, 4.63, 11.11, 8.88, 0.00, 18.32, 29.75, 17.81, 65.77, 0, 0
2.00, 5.70, 20.03, 20.03, -563.21, 20.00, 4.63, 10.56, 8.30, 14.68, 29.41, 36.71, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -546.60, 20.00, 4.63, 10.56, 8.30, 32.70, 29.15, 45.52, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -654.38, 20.00, 4.63, 10.00, 7.72, 0.00, 10.30, 55.10, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -645.99, 20.00, 4.63, 9.44, 7.19, 0.00, 1.14, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -489.77, 20.00, 4.63, 9.44, 7.19, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -501.40, 20.00, 4.63, 8.89, 6.61, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -492.82, 20.00, 4.63, 8.89, 6.61, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -511.16, 20.00, 4.63, 8.33, 6.08, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.90, 19.90, -635.74, 20.00, 4.63, 8.33, 6.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.75, 19.75, -786.06, 20.00, 4.63, 8.33, 6.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.60, 19.60, -841.63, 20.00, 4.63, 7.78, 5.45, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.47, 19.47, -892.74, 20.00, 4.63, 7.22, 4.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.36, 19.36, -915.60, 20.00, 4.63, 7.22, 4.93, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.25, 19.25, -960.47, 20.00, 4.63, 6.67, 4.35, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.16, 19.16, -978.77, 20.00, 4.63, 6.67, 4.35, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.05, 19.05, -1020.33, 20.00, 4.63, 6.11, 3.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1013.18, 20.00, 4.63, 6.11, 3.77, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1018.89, 20.00, 4.63, 6.11, 3.77, 0.00, 1.14, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -977.94, 20.00, 4.63, 6.67, 4.35, 0.00, 16.03, 51.81, -51.47, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -802.19, 20.00, 4.63, 8.33, 6.03, 46.55, 40.29, 42.41, -40.11, 74.86, 0, 0
2.00, 5.70, 20.00, 20.00, -670.54, 20.00, 4.63, 9.44, 7.19, 72.43, 57.51, 34.09, -27.16, 68.55, 0, 0
2.00, 5.70, 20.00, 20.00, -743.12, 20.00, 4.63, 9.44, 7.19, 24.41, 37.32, 28.16, -12.71, 64.66, 0, 0
2.00, 5.70, 20.00, 20.00, -724.66, 20.00, 4.63, 10.00, 7.72, 7.69, 46.09, 26.46, 2.60, 63.65, 0, 0
