hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 20.31, 20.31, -613.62, 20.00, 4.63, -0.56, -0.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.27, 20.27, -452.18, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.27, 20.27, -412.04, 20.00, 4.63, 9.44, 9.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.23, 20.23, -434.76, 20.00, 4.63, 8.89, 8.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.18, 20.18, -458.13, 20.00, 4.63, 8.33, 8.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.12, 20.12, -468.07, 20.00, 4.63, 8.33, 8.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.04, 20.04, -504.51, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.01, 20.01, -478.82, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -482.25, 20.00, 4.63, 7.22, 7.22, 0.00, 1.26, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -440.22, 20.00, 4.63, 8.33, 8.33, 0.00, 15.77, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 20.36, 20.36, -50.50, 20.00, 4.63, 10.00, 10.00, 0.00, 44.16, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 20.72, 20.72, 98.16, 20.00, 4.63, 11.67, 11.67, 0.00, 60.57, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 20.79, 20.79, -68.74, 20.00, 4.63, 12.22, 12.22, 0.00, 41.01, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 20.72, 20.72, -200.33, 20.00, 4.63, 11.67, 11.67, 0.00, 23.97, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 20.63, 20.63, -258.66, 20.00, 4.63, 11.11, 11.11, 0.00, 10.09, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 20.57, 20.57, -258.04, 20.00, 4.63, 10.56, 10.56, 0.00, 17.03, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 20.55, 20.55, -247.64, 20.00, 4.63, 10.56, 10.56, 0.00, 17.67, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 20.48, 20.48, -313.77, 20.00, 4.63, 10.00, 10.00, 0.00, 5.68, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 20.43, 20.43, -310.03, 20.00, 4.63, 9.44, 9.44, 0.00, 0.63, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.48, 20.48, -226.78, 20.00, 4.63, 9.44, 9.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.50, 20.50, -233.80, 20.00, 4.63, 8.89, 8.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.52, 20.52, -229.88, 20.00, 4.63, 8.89, 8.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.52, 20.52, -239.76, 20.00, 4.63, 8.33, 8.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.45, 20.45, -311.84, 20.00, 4.63, 8.33, 8.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.32, 20.32, -400.05, 20.00, 4.63, 8.33, 8.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.20, 20.20, -435.68, 20.00, 4.63, 7.78, 7.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.08, 20.08, -468.38, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.99, 19.99, -485.33, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.89, 19.89, -513.60, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.81, 19.81, -527.21, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.72, 19.72, -552.98, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -512.57, 20.00, 4.63, 6.11, 6.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -515.89, 20.00, 4.63, 6.11, 6.11, 0.00, 0.63, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -495.60, 20.00, 4.63, 6.67, 6.67, 0.00, 8.83, 0.00, -51.47, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -392.15, 20.00, 4.63, 8.33, 8.33, 0.00, 24.61, 0.00, -40.11, 74.86, 0, 0
2.00, 5.70, 20.03, 20.03, -315.99, 20.00, 4.63, 9.44, 9.44, 0.00, 35.96, 0.00, -27.16, 68.55, 0, 0
2.00, 5.70, 20.00, 20.00, -362.33, 20.00, 4.63, 9.44, 9.44, 0.00, 22.08, 0.00, -12.71, 64.66, 0, 0
2.00, 5.70, 20.00, 20.00, -357.51, 20.00, 4.63, 10.00, 10.00, 0.00, 25.87, 0.00, 2.60, 63.65, 0, 0
2.00, 5.70, 20.00, 20.00, -359.50, 20.00, 4.63, 10.00, 10.00, 0.00, 25.87, 0.00, 17.73, 65.67, 0, 0
2.00, 5.70, 20.10, 20.10, -232.34, 20.00, 4.63, 10.56, 10.56, 0.00, 32.81, 0.00, 31.71, 70.43, 0, 0
2.00, 5.70, 20.12, 20.12, -278.15, 20.00, 4.63, 10.00, 10.00, 0.00, 19.56, 0.00, 44.11, 77.43, 0, 0
2.00, 5.70, 20.04, 20.04, -367.72, 20.00, 4.63, 9.44, 9.44, 0.00, 4.42, 0.00, 54.99, 86.09, 0, 0
2.00, 5.70, 20.00, 20.00, -360.45, 20.00, 4.63, 8.89, 8.89, 0.00, 0.63, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.05, 20.05, -275.11, 20.00, 4.63, 8.89, 8.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.09, 20.09, -267.37, 20.00, 4.63, 8.89, 8.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.11, 20.11, -274.38, 20.00, 4.63, 8.33, 8.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.12, 20.12, -270.09, 20.00, 4.63, 8.33, 8.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.05, 20.05, -357.35, 20.00, 4.63, 7.78, 7.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.91, 19.91, -447.24, 20.00, 4.63, 7.78, 7.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.80, 19.80, -470.10, 20.00, 4.63, 7.78, 7.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.70, 19.70, -502.31, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.61, 19.61, -518.72, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.53, 19.53, -532.60, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.46, 19.46, -544.60, 20.00, 4.63, 7.22, 7.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.38, 19.38, -568.94, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -508.60, 20.00, 4.63, 6.67, 6.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
