hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 20.10, 20.10, -540.75, 20.00, 4.63, -0.56, -4.73, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.06, 20.06, -420.97, 20.00, 4.63, 7.22, 3.58, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.07, 20.07, -389.75, 20.00, 4.63, 9.44, 5.95, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.04, 20.04, -406.26, 20.00, 4.63, 8.89, 5.36, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -423.91, 20.00, 4.63, 8.33, 4.85, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.96, 19.96, -431.63, 20.00, 4.63, 8.33, 4.77, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.89, 19.89, -459.74, 20.00, 4.63, 7.22, 3.66, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -435.44, 20.00, 4.63, 7.22, 3.66, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -437.27, 20.00, 4.63, 7.22, 3.66, 0.00, 2.86, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -405.82, 20.00, 4.63, 8.33, 4.77, 0.00, 35.69, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 20.01, 20.01, -350.27, 20.00, 4.63, 10.00, 6.46, 0.00, 53.93, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 20.08, 20.08, -294.95, 20.00, 4.63, 11.67, 8.16, 0.00, 80.32, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 20.12, 20.12, -286.85, 20.00, 4.63, 12.22, 8.76, 0.00, 73.23, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 20.13, 20.13, -305.83, 20.00, 4.63, 11.67, 8.16, 0.00, 53.37, 87.57, 2.71, 63.74, 0, 0
