hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 19.57, 19.57, -1463.25, 20.00, 4.63, -0.56, -2.58, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.48, 19.48, -1142.22, 20.00, 4.63, 7.22, 5.45, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.45, 19.45, -1058.99, 20.00, 4.63, 9.44, 7.75, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.40, 19.40, -1098.06, 20.00, 4.63, 8.89, 7.18, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.34, 19.34, -1137.81, 20.00, 4.63, 8.33, 6.64, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.28, 19.28, -1151.53, 20.00, 4.63, 8.33, 6.60, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.19, 19.19, -1216.31, 20.00, 4.63, 7.22, 5.50, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1175.40, 20.00, 4.63, 7.22, 5.50, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1175.96, 20.00, 4.63, 7.22, 5.50, 0.00, 2.03, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1070.61, 20.00, 4.63, 8.33, 6.60, 0.00, 25.44, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -900.26, 20.00, 4.63, 10.00, 8.28, 0.00, 48.90, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -708.96, 20.00, 4.63, 11.67, 9.97, 0.00, 70.15, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -715.49, 20.00, 4.63, 12.22, 10.54, 0.00, 56.64, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -803.21, 20.00, 4.63, 11.67, 9.97, 0.00, 38.24, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -883.97, 20.00, 4.63, 11.11, 9.43, 0.00, 16.28, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -861.78, 20.00, 4.63, 10.56, 8.86, 0.00, 26.35, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -852.50, 20.00, 4.63, 10.56, 8.86, 0.00, 26.30, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -928.93, 20.00, 4.63, 10.00, 8.28, 0.00, 9.16, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -899.77, 20.00, 4.63, 9.44, 7.75, 0.00, 1.02, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -697.62, 20.00, 4.63, 9.44, 7.75, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -700.30, 20.00, 4.63, 8.89, 7.18, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -683.27, 20.00, 4.63, 8.89, 7.18, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
