Nombre espacio, Area(m2)
"P04_E05", 35.19
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 0, 0.390, 0.010, 1.142, 0.000, 0.425, 0.995, 0.373, 4.221, -7.557, 0.000, -0.000, 19.64
1, 0, -0.113, 0.000, -0.331, 0.000, -0.107, -0.247, 0.345, 4.020, -4.496, 0.928, -0.000, 19.58
1, 0, -0.117, -0.000, -0.341, 0.000, -0.104, -0.239, 0.322, 3.866, -3.652, 0.265, 0.000, 19.56
1, 0, -0.121, -0.000, -0.350, 0.000, -0.107, -0.247, 0.301, 3.744, -3.845, 0.626, 0.000, 19.52
1, 0, -0.110, -0.000, -0.312, 0.000, -0.097, -0.223, 0.283, 3.645, -4.033, 0.847, 0.000, 19.46
1, 0, -0.094, -0.000, -0.266, 0.000, -0.082, -0.191, 0.267, 3.563, -4.014, 0.817, 0.000, 19.41
1, 0, -0.070, 0.000, -0.196, 0.000, -0.063, -0.145, 0.253, 3.496, -4.406, 1.130, -0.000, 19.33
1, 1, -0.960, -0.000, -2.675, 0.000, -0.857, -1.989, 0.241, 3.510, -4.648, -9.981, -17.359, 20.00
1, 1, -0.929, -0.001, -2.574, 0.000, -0.827, -1.919, 0.265, 3.471, -4.648, 0.000, -7.162, 20.00
1, 1, -0.900, -0.001, -2.476, 0.000, -0.749, -1.735, 0.673, 3.438, -4.227, 0.000, -5.978, 20.00
1, 1, -0.829, -0.000, -2.267, 0.000, -0.594, -1.221, 2.683, 3.409, -3.602, 0.000, -2.422, 20.00
1, 1, -0.767, -0.001, -2.082, 0.000, -0.480, -1.018, 2.572, 3.384, -2.984, 0.000, -1.376, 20.00
1, 1, -0.755, -0.001, -2.044, 0.000, -0.474, -1.061, 1.896, 3.362, -2.780, 0.000, -1.856, 20.00
1, 1, -0.760, -0.001, -2.061, 0.000, -0.500, -1.120, 1.595, 3.343, -2.984, 0.000, -2.489, 20.00
1, 1, -0.771, -0.001, -2.105, 0.000, -0.538, -1.213, 1.187, 3.326, -3.189, 0.000, -3.304, 20.00
1, 1, -0.766, -0.001, -2.108, 0.000, -0.539, -1.219, 1.307, 3.571, -3.395, 0.000, -3.150, 20.00
1, 1, -0.757, -0.001, -2.100, 0.000, -0.538, -1.212, 1.359, 3.586, -3.395, 0.000, -3.060, 20.00
1, 1, -0.770, -0.001, -2.147, 0.000, -0.583, -1.326, 0.947, 3.595, -3.602, 0.000, -3.888, 20.00
1, 1, -0.776, -0.001, -2.171, 0.000, -0.617, -1.407, 0.728, 4.452, -3.810, 0.000, -3.601, 20.00
1, 1, -0.761, -0.001, -2.130, 0.000, -0.617, -1.410, 0.626, 6.672, -3.810, 0.000, -1.432, 20.00
1, 1, -0.756, -0.001, -2.112, 0.000, -0.632, -1.448, 0.555, 6.976, -4.018, 0.000, -1.436, 20.00
1, 1, -0.751, -0.001, -2.092, 0.000, -0.637, -1.461, 0.498, 7.217, -4.018, 0.000, -1.245, 20.00
1, 1, -0.755, -0.001, -2.090, 0.000, -0.655, -1.507, 0.451, 7.415, -4.227, 0.000, -1.370, 20.00
1, 0, -0.607, -0.001, -1.668, 0.000, -0.531, -1.223, 0.411, 5.976, -4.183, 1.826, 0.000, 19.88
