hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 19.64, 19.64, -611.78, 20.00, 4.63, -0.56, -13.72, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.58, 19.58, -495.94, 20.00, 4.63, 7.22, -4.25, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.56, 19.56, -466.56, 20.00, 4.63, 9.44, -1.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.52, 19.52, -482.89, 20.00, 4.63, 8.89, -2.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.46, 19.46, -499.76, 20.00, 4.63, 8.33, -2.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.41, 19.41, -506.87, 20.00, 4.63, 8.33, -2.90, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.33, 19.33, -533.28, 20.00, 4.63, 7.22, -3.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -511.09, 20.00, 4.63, 7.22, -3.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -511.95, 20.00, 4.63, 7.22, -3.98, 0.00, 6.28, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -476.00, 20.00, 4.63, 8.33, -2.90, 0.00, 78.50, 83.01, -51.34, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -354.90, 20.00, 4.63, 10.00, -1.14, 145.73, 74.91, 74.87, -39.97, 74.87, 0, 0
2.00, 5.70, 20.00, 20.00, -320.99, 20.00, 4.63, 11.67, 0.63, 179.69, 122.79, 68.58, -27.02, 68.58, 0, 0
2.00, 5.70, 20.00, 20.00, -339.84, 20.00, 4.63, 12.22, 1.31, 61.97, 142.50, 64.72, -12.58, 64.72, 0, 0
2.00, 5.70, 20.00, 20.00, -363.38, 20.00, 4.63, 11.67, 0.63, 2.79, 116.55, 63.74, 2.71, 63.74, 0, 0
2.00, 5.70, 20.00, 20.00, -392.78, 20.00, 4.63, 11.11, 0.21, 0.00, 50.24, 65.77, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -387.69, 20.00, 4.63, 10.56, -0.46, 7.35, 77.47, 70.55, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -384.51, 20.00, 4.63, 10.56, -0.46, 14.27, 73.73, 77.56, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -413.41, 20.00, 4.63, 10.00, -1.14, 0.00, 28.26, 86.22, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -402.88, 20.00, 4.63, 9.44, -1.56, 0.00, 3.14, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -325.93, 20.00, 4.63, 9.44, -1.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -325.38, 20.00, 4.63, 8.89, -2.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -317.87, 20.00, 4.63, 8.89, -2.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -321.44, 20.00, 4.63, 8.33, -2.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.88, 19.88, -378.75, 20.00, 4.63, 8.33, -2.90, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.72, 19.72, -449.64, 20.00, 4.63, 8.33, -2.90, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.58, 19.58, -474.90, 20.00, 4.63, 7.78, -3.58, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.47, 19.47, -498.10, 20.00, 4.63, 7.22, -3.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.37, 19.37, -509.92, 20.00, 4.63, 7.22, -3.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.27, 19.27, -530.12, 20.00, 4.63, 6.67, -4.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.18, 19.18, -539.73, 20.00, 4.63, 6.67, -4.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.10, 19.10, -558.27, 20.00, 4.63, 6.11, -5.06, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -518.72, 20.00, 4.63, 6.11, -5.32, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -520.84, 20.00, 4.63, 6.11, -5.32, 0.00, 3.14, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -503.09, 20.00, 4.63, 6.67, -4.65, 0.00, 43.96, 83.01, -51.47, 83.01, 0, 0
2.00, 5.70, 20.00, 20.00, -446.92, 20.00, 4.63, 8.33, -2.90, 21.43, 101.16, 74.86, -40.11, 74.86, 0, 0
2.00, 5.70, 20.00, 20.00, -412.86, 20.00, 4.63, 9.44, -1.56, 38.07, 141.13, 68.55, -27.16, 68.55, 0, 0
2.00, 5.70, 20.00, 20.00, -427.99, 20.00, 4.63, 9.44, -1.56, 13.50, 96.48, 64.66, -12.71, 64.66, 0, 0
2.00, 5.70, 20.00, 20.00, -411.32, 20.00, 4.63, 10.00, -1.14, 4.20, 124.57, 63.65, 2.60, 63.65, 0, 0
2.00, 5.70, 20.00, 20.00, -408.09, 20.00, 4.63, 10.00, -1.14, 2.60, 126.16, 65.67, 17.73, 65.67, 0, 0
2.00, 5.70, 20.00, 20.00, -376.22, 20.00, 4.63, 10.56, -0.46, 52.82, 110.77, 70.43, 31.71, 70.43, 0, 0
2.00, 5.70, 20.00, 20.00, -393.85, 20.00, 4.63, 10.00, -1.14, 26.77, 70.73, 77.43, 44.11, 77.43, 0, 0
2.00, 5.70, 20.00, 20.00, -426.32, 20.00, 4.63, 9.44, -1.56, 0.00, 21.98, 86.09, 54.99, 86.09, 0, 0
2.00, 5.70, 20.00, 20.00, -413.52, 20.00, 4.63, 8.89, -2.23, 0.00, 3.14, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -339.17, 20.00, 4.63, 8.89, -2.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -330.60, 20.00, 4.63, 8.89, -2.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -333.22, 20.00, 4.63, 8.33, -2.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -327.99, 20.00, 4.63, 8.33, -2.90, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.82, 19.82, -396.57, 20.00, 4.63, 7.78, -3.31, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
