Nombre espacio, Area(m2)
"P01_E03", 10.78
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 0, 0.504, 0.015, 0.000, 0.659, 0.558, 1.001, 2.332, 3.926, -8.997, 0.000, -0.000, 22.84
1, 0, -0.570, -0.014, 0.000, -0.719, -0.426, -0.732, 2.199, 3.791, -4.212, 0.685, 0.000, 22.79
1, 0, -0.664, -0.016, 0.000, -0.791, -0.410, -0.694, 2.078, 3.693, -3.071, -0.125, 0.000, 22.80
1, 0, -0.711, -0.016, 0.000, -0.793, -0.424, -0.728, 1.968, 3.616, -3.342, 0.429, -0.000, 22.77
1, 0, -0.718, -0.014, 0.000, -0.734, -0.408, -0.712, 1.867, 3.552, -3.601, 0.769, 0.000, 22.72
1, 0, -0.684, -0.012, 0.000, -0.648, -0.376, -0.665, 1.774, 3.498, -3.856, 0.969, -0.000, 22.66
1, 0, -0.620, -0.010, 0.000, -0.552, -0.335, -0.600, 1.688, 3.451, -4.107, 1.085, -0.000, 22.59
1, 0, -0.546, -0.008, 0.000, -0.462, -0.294, -0.532, 1.608, 3.477, -4.358, 1.116, -0.000, 22.51
1, 0, -0.492, -0.006, 0.000, -0.399, -0.258, -0.467, 1.606, 3.446, -4.328, 0.897, 0.000, 22.45
1, 0, -0.558, -0.007, 0.000, -0.435, -0.259, -0.445, 2.155, 3.417, -3.755, -0.114, -0.000, 22.46
