hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 22.84, 22.84, -70.80, 20.00, 4.63, 5.56, 5.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.79, 22.79, -13.21, 20.00, 4.63, 14.44, 14.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.80, 22.80, -0.78, 20.00, 4.63, 16.67, 16.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.77, 22.77, -9.32, 20.00, 4.63, 16.11, 16.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.72, 22.72, -19.12, 20.00, 4.63, 15.56, 15.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.66, 22.66, -29.37, 20.00, 4.63, 15.00, 15.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.59, 22.59, -39.67, 20.00, 4.63, 14.44, 14.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.51, 22.51, -49.13, 20.00, 4.63, 13.89, 13.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.45, 22.45, -53.42, 20.00, 4.63, 13.89, 13.89, 0.00, 1.89, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.46, 22.46, -38.68, 20.00, 4.63, 15.00, 15.00, 0.00, 17.67, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 22.72, 22.72, 46.10, 20.00, 4.63, 16.11, 16.11, 0.00, 44.80, 0.00, -39.97, 74.87, 0, 0
2.00, 5.70, 22.98, 22.98, 83.59, 20.00, 4.63, 17.78, 17.78, 0.00, 63.09, 0.00, -27.02, 68.58, 0, 0
2.00, 5.70, 23.29, 23.29, 137.70, 20.00, 4.63, 18.89, 18.89, 0.00, 80.76, 0.00, -12.58, 64.72, 0, 0
2.00, 5.70, 23.60, 23.60, 182.24, 20.00, 4.63, 20.00, 20.00, 0.00, 87.70, 0.00, 2.71, 63.74, 0, 0
2.00, 5.70, 23.76, 23.76, 175.72, 20.00, 4.63, 20.56, 20.56, 0.00, 81.39, 0.00, 17.81, 65.77, 0, 0
2.00, 5.70, 23.79, 23.79, 154.85, 20.00, 4.63, 20.56, 20.56, 0.00, 61.83, 0.00, 31.77, 70.55, 0, 0
2.00, 5.70, 23.74, 23.74, 128.98, 20.00, 4.63, 20.00, 20.00, 0.00, 37.86, 0.00, 44.15, 77.56, 0, 0
2.00, 5.70, 23.59, 23.59, 87.90, 20.00, 4.63, 19.44, 19.44, 0.00, 13.25, 0.00, 55.01, 86.22, 0, 0
2.00, 5.70, 23.49, 23.49, 77.59, 20.00, 4.63, 18.89, 18.89, 0.00, 1.26, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.49, 23.49, 91.75, 20.00, 4.63, 18.33, 18.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.48, 23.48, 86.28, 20.00, 4.63, 17.78, 17.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.46, 23.46, 80.29, 20.00, 4.63, 17.22, 17.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.43, 23.43, 73.83, 20.00, 4.63, 16.67, 16.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.34, 23.34, 47.83, 20.00, 4.63, 16.11, 16.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.19, 23.19, 17.36, 20.00, 4.63, 15.56, 15.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.08, 23.08, 4.36, 20.00, 4.63, 15.00, 15.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.97, 22.97, -7.80, 20.00, 4.63, 14.44, 14.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.88, 22.88, -19.56, 20.00, 4.63, 13.89, 13.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.78, 22.78, -31.13, 20.00, 4.63, 13.33, 13.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.69, 22.69, -42.62, 20.00, 4.63, 12.78, 12.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.60, 22.60, -54.12, 20.00, 4.63, 12.22, 12.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.51, 22.51, -64.82, 20.00, 4.63, 11.67, 11.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.43, 22.43, -69.97, 20.00, 4.63, 11.67, 11.67, 0.00, 2.52, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.43, 22.43, -57.15, 20.00, 4.63, 12.78, 12.78, 0.00, 17.03, 0.00, -51.47, 83.01, 0, 0
2.00, 5.70, 22.67, 22.67, 25.17, 20.00, 4.63, 13.89, 13.89, 0.00, 44.80, 0.00, -40.11, 74.86, 0, 0
2.00, 5.70, 22.94, 22.94, 70.22, 20.00, 4.63, 15.56, 15.56, 0.00, 64.35, 0.00, -27.16, 68.55, 0, 0
2.00, 5.70, 23.24, 23.24, 120.80, 20.00, 4.63, 16.67, 16.67, 0.00, 82.02, 0.00, -12.71, 64.66, 0, 0
2.00, 5.70, 23.53, 23.53, 160.10, 20.00, 4.63, 17.78, 17.78, 0.00, 87.07, 0.00, 2.60, 63.65, 0, 0
2.00, 5.70, 23.66, 23.66, 151.89, 20.00, 4.63, 18.33, 18.33, 0.00, 77.60, 0.00, 17.73, 65.67, 0, 0
2.00, 5.70, 23.69, 23.69, 131.50, 20.00, 4.63, 18.33, 18.33, 0.00, 62.46, 0.00, 31.71, 70.43, 0, 0
2.00, 5.70, 23.59, 23.59, 92.43, 20.00, 4.63, 17.78, 17.78, 0.00, 32.18, 0.00, 44.11, 77.43, 0, 0
2.00, 5.70, 23.41, 23.41, 51.39, 20.00, 4.63, 16.67, 16.67, 0.00, 9.46, 0.00, 54.99, 86.09, 0, 0
2.00, 5.70, 23.30, 23.30, 41.94, 20.00, 4.63, 16.11, 16.11, 0.00, 1.26, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.30, 23.30, 59.65, 20.00, 4.63, 16.11, 16.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.28, 23.28, 53.56, 20.00, 4.63, 15.56, 15.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.26, 23.26, 51.35, 20.00, 4.63, 15.56, 15.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.23, 23.23, 44.53, 20.00, 4.63, 15.00, 15.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.15, 23.15, 22.62, 20.00, 4.63, 15.00, 15.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.01, 23.01, -7.87, 20.00, 4.63, 14.44, 14.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.90, 22.90, -16.40, 20.00, 4.63, 14.44, 14.44, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.81, 22.81, -28.21, 20.00, 4.63, 13.89, 13.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.73, 22.73, -35.11, 20.00, 4.63, 13.89, 13.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.64, 22.64, -45.98, 20.00, 4.63, 13.33, 13.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.57, 22.57, -52.26, 20.00, 4.63, 13.33, 13.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.49, 22.49, -62.71, 20.00, 4.63, 12.78, 12.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.43, 22.43, -67.85, 20.00, 4.63, 12.78, 12.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.37, 22.37, -71.66, 20.00, 4.63, 12.78, 12.78, 0.00, 2.52, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.39, 22.39, -53.60, 20.00, 4.63, 13.89, 13.89, 0.00, 23.34, 0.00, -51.61, 83.01, 0, 0
2.00, 5.70, 22.58, 22.58, 6.49, 20.00, 4.63, 15.56, 15.56, 0.00, 42.90, 0.00, -40.24, 74.84, 0, 0
2.00, 5.70, 22.90, 22.90, 76.76, 20.00, 4.63, 16.67, 16.67, 0.00, 71.29, 0.00, -27.29, 68.50, 0, 0
2.00, 5.70, 23.19, 23.19, 115.73, 20.00, 4.63, 18.33, 18.33, 0.00, 80.76, 0.00, -12.84, 64.59, 0, 0
2.00, 5.70, 23.36, 23.36, 120.09, 20.00, 4.63, 18.89, 18.89, 0.00, 77.60, 0.00, 2.49, 63.56, 0, 0
2.00, 5.70, 23.41, 23.41, 102.95, 20.00, 4.63, 18.89, 18.89, 0.00, 68.77, 0.00, 17.64, 65.56, 0, 0
2.00, 5.70, 23.43, 23.43, 99.04, 20.00, 4.63, 18.89, 18.89, 0.00, 57.41, 0.00, 31.65, 70.31, 0, 0
2.00, 5.70, 23.42, 23.42, 89.65, 20.00, 4.63, 18.89, 18.89, 0.00, 36.59, 0.00, 44.08, 77.30, 0, 0
2.00, 5.70, 23.29, 23.29, 46.51, 20.00, 4.63, 17.78, 17.78, 0.00, 11.99, 0.00, 54.97, 85.96, 0, 0
2.00, 5.70, 23.19, 23.19, 37.62, 20.00, 4.63, 17.22, 17.22, 0.00, 1.26, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.19, 23.19, 52.16, 20.00, 4.63, 16.67, 16.67, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.18, 23.18, 46.87, 20.00, 4.63, 16.11, 16.11, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.15, 23.15, 40.93, 20.00, 4.63, 15.56, 15.56, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.12, 23.12, 34.47, 20.00, 4.63, 15.00, 15.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.04, 23.04, 12.99, 20.00, 4.63, 15.00, 15.00, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
