hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 22.60, 22.60, -82.80, 20.00, 4.63, 5.56, -5.72, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.56, 22.56, -30.11, 20.00, 4.63, 14.44, 4.26, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.57, 22.57, -18.77, 20.00, 4.63, 16.67, 6.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.53, 22.53, -26.89, 20.00, 4.63, 16.11, 6.28, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.48, 22.48, -36.28, 20.00, 4.63, 15.56, 5.61, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.41, 22.41, -46.15, 20.00, 4.63, 15.00, 5.15, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.34, 22.34, -56.11, 20.00, 4.63, 14.44, 4.70, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.26, 22.26, -65.28, 20.00, 4.63, 13.89, 4.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.20, 22.20, -69.94, 20.00, 4.63, 13.89, 4.03, 0.00, 9.42, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.20, 22.20, -59.27, 20.00, 4.63, 15.00, 5.15, 0.00, 87.92, 83.01, -51.34, 83.01, 0, 0
2.00, 5.70, 22.43, 22.43, 13.07, 20.00, 4.63, 16.11, 6.28, 113.62, 109.98, 74.87, -39.97, 74.87, 0, 0
2.00, 5.70, 22.66, 22.66, 49.52, 20.00, 4.63, 17.78, 7.87, 142.83, 172.00, 68.58, -27.02, 68.58, 0, 0
2.00, 5.70, 22.98, 22.98, 110.61, 20.00, 4.63, 18.89, 9.01, 234.40, 168.88, 64.72, -12.58, 64.72, 0, 0
