hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 22.60, 22.60, -82.80, 20.00, 4.63, 5.56, 0.37, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.56, 22.56, -30.11, 20.00, 4.63, 14.44, 9.76, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.57, 22.57, -18.77, 20.00, 4.63, 16.67, 12.10, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.53, 22.53, -26.89, 20.00, 4.63, 16.11, 11.59, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.48, 22.48, -36.28, 20.00, 4.63, 15.56, 10.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.41, 22.41, -46.15, 20.00, 4.63, 15.00, 10.47, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.34, 22.34, -56.11, 20.00, 4.63, 14.44, 9.96, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.26, 22.26, -65.28, 20.00, 4.63, 13.89, 9.36, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.20, 22.20, -69.94, 20.00, 4.63, 13.89, 9.36, 0.00, 5.35, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.20, 22.20, -59.27, 20.00, 4.63, 15.00, 10.47, 0.00, 49.97, 50.59, -51.34, 83.01, 0, 0
2.00, 5.70, 22.43, 22.43, 13.07, 20.00, 4.63, 16.11, 11.59, 327.18, 74.76, 41.27, -39.97, 74.87, 0, 0
2.00, 5.70, 22.66, 22.66, 49.52, 20.00, 4.63, 17.78, 13.22, 327.52, 113.16, 33.15, -27.02, 68.58, 0, 0
2.00, 5.70, 22.98, 22.98, 110.61, 20.00, 4.63, 18.89, 14.35, 486.40, 121.27, 27.61, -12.58, 64.72, 0, 0
2.00, 5.70, 23.36, 23.36, 172.41, 20.00, 4.63, 20.00, 15.47, 635.12, 104.49, 26.52, 2.71, 63.74, 0, 0
2.00, 5.70, 23.59, 23.59, 181.26, 20.00, 4.63, 20.56, 15.98, 601.44, 99.43, 30.38, 17.81, 65.77, 0, 0
2.00, 5.70, 23.64, 23.64, 156.64, 20.00, 4.63, 20.56, 15.98, 427.23, 92.78, 37.63, 31.77, 70.55, 0, 0
2.00, 5.70, 23.56, 23.56, 116.02, 20.00, 4.63, 20.00, 15.37, 221.83, 66.37, 46.57, 44.15, 77.56, 0, 0
2.00, 5.70, 23.34, 23.34, 61.07, 20.00, 4.63, 19.44, 14.86, 0.00, 37.47, 56.19, 55.01, 86.22, 0, 0
2.00, 5.70, 23.22, 23.22, 53.36, 20.00, 4.63, 18.89, 14.35, 0.00, 3.57, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.21, 23.21, 67.10, 20.00, 4.63, 18.33, 13.73, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.19, 23.19, 62.56, 20.00, 4.63, 17.78, 13.22, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.17, 23.17, 57.35, 20.00, 4.63, 17.22, 12.61, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.14, 23.14, 51.62, 20.00, 4.63, 16.67, 12.10, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.05, 23.05, 27.52, 20.00, 4.63, 16.11, 11.49, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.91, 22.91, -1.10, 20.00, 4.63, 15.56, 10.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.79, 22.79, -13.65, 20.00, 4.63, 15.00, 10.37, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.69, 22.69, -25.34, 20.00, 4.63, 14.44, 9.76, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.59, 22.59, -36.59, 20.00, 4.63, 13.89, 9.15, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.50, 22.50, -47.62, 20.00, 4.63, 13.33, 8.65, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.41, 22.41, -58.57, 20.00, 4.63, 12.78, 8.14, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.32, 22.32, -69.52, 20.00, 4.63, 12.22, 7.54, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.23, 22.23, -79.71, 20.00, 4.63, 11.67, 7.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.15, 22.15, -85.16, 20.00, 4.63, 11.67, 7.03, 0.00, 7.14, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.14, 22.14, -76.02, 20.00, 4.63, 12.78, 8.14, 0.00, 48.18, 50.72, -51.47, 83.01, 0, 0
2.00, 5.70, 22.35, 22.35, -6.04, 20.00, 4.63, 13.89, 9.26, 319.44, 75.84, 41.40, -40.11, 74.86, 0, 0
2.00, 5.70, 22.60, 22.60, 38.12, 20.00, 4.63, 15.56, 10.88, 366.62, 108.71, 33.27, -27.16, 68.55, 0, 0
2.00, 5.70, 22.91, 22.91, 95.85, 20.00, 4.63, 16.67, 12.00, 505.48, 120.28, 27.71, -12.71, 64.66, 0, 0
2.00, 5.70, 23.26, 23.26, 152.00, 20.00, 4.63, 17.78, 13.12, 631.91, 102.92, 26.59, 2.60, 63.65, 0, 0
2.00, 5.70, 23.49, 23.49, 161.94, 20.00, 4.63, 18.33, 13.63, 620.30, 84.03, 30.41, 17.73, 65.67, 0, 0
2.00, 5.70, 23.53, 23.53, 136.75, 20.00, 4.63, 18.33, 13.63, 439.70, 91.68, 37.63, 31.71, 70.43, 0, 0
2.00, 5.70, 23.37, 23.37, 75.03, 20.00, 4.63, 17.78, 13.12, 139.08, 65.28, 46.56, 44.11, 77.43, 0, 0
2.00, 5.70, 23.14, 23.14, 27.32, 20.00, 4.63, 16.67, 12.00, 0.00, 26.77, 56.18, 54.99, 86.09, 0, 0
2.00, 5.70, 23.00, 23.00, 19.65, 20.00, 4.63, 16.11, 11.49, 0.00, 3.57, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.99, 22.99, 36.47, 20.00, 4.63, 16.11, 11.49, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.97, 22.97, 31.15, 20.00, 4.63, 15.56, 10.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.95, 22.95, 29.27, 20.00, 4.63, 15.56, 10.98, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
