hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 23.03, 23.03, -65.52, 20.00, 4.63, 5.56, 3.36, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.98, 22.98, -2.87, 20.00, 4.63, 14.44, 12.46, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.97, 22.97, 9.81, 20.00, 4.63, 16.67, 14.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.93, 22.93, -1.19, 20.00, 4.63, 16.11, 14.20, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.87, 22.87, -13.64, 20.00, 4.63, 15.56, 13.62, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.80, 22.80, -26.66, 20.00, 4.63, 15.00, 13.09, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.73, 22.73, -39.78, 20.00, 4.63, 14.44, 12.55, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.65, 22.65, -51.90, 20.00, 4.63, 13.89, 11.97, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.58, 22.58, -58.20, 20.00, 4.63, 13.89, 11.97, 0.00, 3.36, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.58, 22.58, -43.87, 20.00, 4.63, 15.00, 13.09, 0.00, 31.33, 51.46, -51.34, 83.01, 0, 0
2.00, 5.70, 22.85, 22.85, 63.88, 20.00, 4.63, 16.11, 14.20, 249.97, 57.47, 42.08, -39.97, 74.87, 0, 0
2.00, 5.70, 23.12, 23.12, 113.70, 20.00, 4.63, 17.78, 15.85, 273.29, 84.27, 33.80, -27.02, 68.58, 0, 0
2.00, 5.70, 23.49, 23.49, 200.79, 20.00, 4.63, 18.89, 16.97, 420.72, 97.89, 27.96, -12.58, 64.72, 0, 0
2.00, 5.70, 23.91, 23.91, 288.68, 20.00, 4.63, 20.00, 18.08, 566.23, 94.80, 26.41, 2.71, 63.74, 0, 0
2.00, 5.70, 24.19, 24.19, 305.23, 20.00, 4.63, 20.56, 18.62, 516.42, 89.02, 29.88, 17.81, 65.77, 0, 0
2.00, 5.70, 24.26, 24.26, 271.30, 20.00, 4.63, 20.56, 18.62, 358.15, 74.92, 36.90, 31.77, 70.55, 0, 0
2.00, 5.70, 24.18, 24.18, 218.23, 20.00, 4.63, 20.00, 18.04, 214.04, 49.92, 45.73, 44.15, 77.56, 0, 0
2.00, 5.70, 23.91, 23.91, 127.64, 20.00, 4.63, 19.44, 17.50, 0.00, 23.50, 55.32, 55.01, 86.22, 0, 0
2.00, 5.70, 23.75, 23.75, 114.84, 20.00, 4.63, 18.89, 16.97, 0.00, 2.24, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.72, 23.72, 130.26, 20.00, 4.63, 18.33, 16.39, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.69, 23.69, 122.96, 20.00, 4.63, 17.78, 15.85, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.66, 23.66, 114.97, 20.00, 4.63, 17.22, 15.27, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.62, 23.62, 106.46, 20.00, 4.63, 16.67, 14.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.52, 23.52, 74.71, 20.00, 4.63, 16.11, 14.16, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.37, 23.37, 37.11, 20.00, 4.63, 15.56, 13.62, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.25, 23.25, 19.86, 20.00, 4.63, 15.00, 13.04, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.14, 23.14, 3.87, 20.00, 4.63, 14.44, 12.46, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 23.04, 23.04, -11.43, 20.00, 4.63, 13.89, 11.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.94, 22.94, -26.30, 20.00, 4.63, 13.33, 11.35, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.84, 22.84, -40.94, 20.00, 4.63, 12.78, 10.82, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.75, 22.75, -55.49, 20.00, 4.63, 12.22, 10.24, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.65, 22.65, -68.98, 20.00, 4.63, 11.67, 9.71, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.57, 22.57, -76.25, 20.00, 4.63, 11.67, 9.71, 0.00, 4.48, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.56, 22.56, -63.95, 20.00, 4.63, 12.78, 10.82, 0.00, 30.21, 51.59, -51.47, 83.01, 0, 0
2.00, 5.70, 22.81, 22.81, 40.55, 20.00, 4.63, 13.89, 11.93, 243.38, 57.93, 42.21, -40.11, 74.86, 0, 0
2.00, 5.70, 23.10, 23.10, 102.33, 20.00, 4.63, 15.56, 13.58, 305.72, 83.12, 33.93, -27.16, 68.55, 0, 0
2.00, 5.70, 23.46, 23.46, 184.55, 20.00, 4.63, 16.67, 14.69, 436.92, 98.20, 28.07, -12.71, 64.66, 0, 0
2.00, 5.70, 23.87, 23.87, 264.38, 20.00, 4.63, 17.78, 15.81, 563.34, 93.77, 26.49, 2.60, 63.65, 0, 0
2.00, 5.70, 24.13, 24.13, 283.08, 20.00, 4.63, 18.33, 16.34, 532.51, 80.32, 29.91, 17.73, 65.67, 0, 0
2.00, 5.70, 24.19, 24.19, 248.77, 20.00, 4.63, 18.33, 16.34, 368.49, 74.82, 36.90, 31.71, 70.43, 0, 0
2.00, 5.70, 24.01, 24.01, 160.29, 20.00, 4.63, 17.78, 15.81, 134.02, 46.18, 45.72, 44.11, 77.43, 0, 0
