hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 22.35, 22.35, -54.72, 20.00, 4.63, 5.56, -5.72, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.33, 22.33, -23.74, 20.00, 4.63, 14.44, 4.26, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.35, 22.35, -16.97, 20.00, 4.63, 16.67, 6.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.32, 22.32, -22.71, 20.00, 4.63, 16.11, 6.28, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.27, 22.27, -29.90, 20.00, 4.63, 15.56, 5.61, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.21, 22.21, -37.67, 20.00, 4.63, 15.00, 5.15, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.13, 22.13, -45.56, 20.00, 4.63, 14.44, 4.70, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.06, 22.06, -52.98, 20.00, 4.63, 13.89, 4.03, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.00, 22.00, -57.44, 20.00, 4.63, 13.89, 4.03, 0.00, 9.42, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 21.99, 21.99, -51.87, 20.00, 4.63, 15.00, 5.15, 0.00, 87.92, 83.01, -51.34, 83.01, 0, 0
2.00, 5.70, 22.06, 22.06, -34.13, 20.00, 4.63, 16.11, 6.28, 113.62, 109.98, 74.87, -39.97, 74.87, 0, 0
2.00, 5.70, 22.18, 22.18, -14.27, 20.00, 4.63, 17.78, 7.87, 142.83, 172.00, 68.58, -27.02, 68.58, 0, 0
2.00, 5.70, 22.33, 22.33, 7.12, 20.00, 4.63, 18.89, 9.01, 234.40, 168.88, 64.72, -12.58, 64.72, 0, 0
2.00, 5.70, 22.50, 22.50, 29.51, 20.00, 4.63, 20.00, 10.15, 314.05, 124.23, 63.74, 2.71, 63.74, 0, 0
2.00, 5.70, 22.67, 22.67, 47.43, 20.00, 4.63, 20.56, 10.61, 286.09, 120.62, 65.77, 17.81, 65.77, 0, 0
2.00, 5.70, 22.81, 22.81, 60.67, 20.00, 4.63, 20.56, 10.61, 179.60, 129.16, 70.55, 31.77, 70.55, 0, 0
2.00, 5.70, 22.90, 22.90, 62.73, 20.00, 4.63, 20.00, 9.92, 89.04, 99.88, 77.56, 44.15, 77.56, 0, 0
2.00, 5.70, 22.80, 22.80, 32.96, 20.00, 4.63, 19.44, 9.46, 0.00, 65.94, 86.22, 55.01, 86.22, 0, 0
2.00, 5.70, 22.75, 22.75, 29.03, 20.00, 4.63, 18.89, 9.01, 0.00, 6.28, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.79, 22.79, 39.68, 20.00, 4.63, 18.33, 8.33, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.81, 22.81, 39.12, 20.00, 4.63, 17.78, 7.87, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.82, 22.82, 37.60, 20.00, 4.63, 17.22, 7.19, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.82, 22.82, 35.19, 20.00, 4.63, 16.67, 6.74, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.75, 22.75, 20.19, 20.00, 4.63, 16.11, 6.06, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.64, 22.64, 1.12, 20.00, 4.63, 15.56, 5.61, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.54, 22.54, -8.33, 20.00, 4.63, 15.00, 4.94, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.46, 22.46, -17.27, 20.00, 4.63, 14.44, 4.26, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 22.38, 22.38, -26.02, 20.00, 4.63, 13.89, 3.59, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
