hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 12.29, 12.29, -922.01, 20.00, 4.63, 2.22, -2.38, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.39, 12.39, -884.46, 20.00, 4.63, 9.44, 5.51, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.47, 12.47, -855.97, 20.00, 4.63, 11.67, 7.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.42, 12.42, -858.65, 20.00, 4.63, 11.11, 7.30, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.32, 12.32, -872.68, 20.00, 4.63, 10.56, 6.79, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.20, 12.20, -889.83, 20.00, 4.63, 10.00, 6.19, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.11, 12.11, -900.00, 20.00, 4.63, 10.00, 6.19, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.00, 12.00, -913.69, 20.00, 4.63, 9.44, 5.59, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 11.94, 11.94, -916.02, 20.00, 4.63, 9.44, 5.59, 0.00, 3.06, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 12.21, 12.21, -849.87, 20.00, 4.63, 10.56, 6.70, 0.00, 33.65, 11.41, -51.34, 83.01, 0, 0
2.00, 5.70, 13.67, 13.67, -541.51, 20.00, 4.63, 11.67, 7.89, 396.68, 55.31, 15.30, -39.97, 74.87, 0, 0
2.00, 5.70, 14.27, 14.27, -446.59, 20.00, 4.63, 13.33, 9.52, 310.72, 84.89, 26.10, -27.02, 68.58, 0, 0
2.00, 5.70, 13.99, 13.99, -537.90, 20.00, 4.63, 13.89, 10.12, 66.74, 77.28, 38.25, -12.58, 64.72, 0, 0
2.00, 5.70, 13.70, 13.70, -615.57, 20.00, 4.63, 13.33, 9.52, 0.00, 52.00, 50.66, 2.71, 63.74, 0, 0
2.00, 5.70, 13.35, 13.35, -697.52, 20.00, 4.63, 12.22, 8.41, 0.00, 16.82, 62.97, 17.81, 65.77, 0, 0
2.00, 5.70, 13.46, 13.46, -673.63, 20.00, 4.63, 12.22, 8.41, 0.82, 36.33, 75.00, 31.77, 70.55, 0, 0
