Nombre espacio, Area(m2)
"P01_E02", 89.43
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 0, -0.054, -0.000, 0.000, -0.019, -0.012, -0.060, 0.988, 3.923, -4.765, 0.000, -0.000, 20.54
1, 0, -1.147, -0.000, 0.000, -0.395, -0.215, -1.047, 0.932, 3.767, -2.797, 0.901, 0.000, 20.48
1, 0, -1.101, -0.000, 0.000, -0.373, -0.188, -0.917, 0.881, 3.660, -2.212, 0.250, -0.000, 20.46
1, 0, -1.090, -0.000, 0.000, -0.365, -0.185, -0.907, 0.834, 3.579, -2.348, 0.483, 0.000, 20.43
1, 0, -1.045, -0.000, 0.000, -0.347, -0.179, -0.879, 0.790, 3.514, -2.482, 0.629, -0.000, 20.39
1, 0, -0.982, -0.000, 0.000, -0.325, -0.171, -0.841, 0.750, 3.460, -2.616, 0.725, 0.000, 20.34
1, 0, -0.917, -0.000, 0.000, -0.303, -0.160, -0.788, 0.711, 3.414, -2.605, 0.646, -0.000, 20.30
1, 0, -0.868, -0.000, 0.000, -0.286, -0.154, -0.761, 0.675, 3.444, -2.739, 0.689, 0.000, 20.25
1, 0, -0.820, -0.000, 0.000, -0.269, -0.145, -0.716, 0.692, 3.414, -2.729, 0.573, 0.000, 20.21
1, 0, -0.821, -0.000, 0.000, -0.268, -0.137, -0.652, 1.170, 3.386, -2.442, -0.236, -0.000, 20.23
1, 0, -1.983, -0.000, 0.000, -0.645, -0.283, -0.626, 9.767, 3.361, -2.276, -7.315, 0.000, 20.71
1, 0, -3.176, -0.001, 0.000, -1.034, -0.414, -0.803, 8.965, 3.337, -1.928, -4.945, -0.000, 21.04
1, 0, -3.183, -0.001, 0.000, -1.046, -0.427, -1.374, 4.922, 3.315, -1.793, -0.414, 0.000, 21.07
1, 0, -2.818, -0.000, 0.000, -0.940, -0.400, -1.556, 3.210, 3.294, -1.916, 1.127, 0.000, 21.00
1, 0, -2.399, -0.000, 0.000, -0.813, -0.368, -1.579, 2.386, 3.275, -2.175, 1.673, 0.000, 20.89
1, 0, -2.154, -0.000, 0.000, -0.740, -0.331, -1.396, 2.479, 3.515, -2.161, 0.789, -0.000, 20.83
1, 0, -2.003, -0.000, 0.000, -0.695, -0.310, -1.309, 2.431, 3.520, -2.153, 0.518, -0.000, 20.80
1, 0, -1.828, -0.000, 0.000, -0.639, -0.296, -1.322, 1.888, 3.521, -2.281, 0.958, -0.000, 20.73
1, 0, -1.756, -0.000, 0.000, -0.617, -0.295, -1.362, 1.554, 4.364, -2.416, 0.527, -0.000, 20.70
1, 0, -1.968, -0.000, 0.000, -0.694, -0.334, -1.562, 1.398, 6.548, -2.432, -0.954, 0.000, 20.76
1, 0, -2.097, -0.000, 0.000, -0.740, -0.365, -1.723, 1.289, 6.786, -2.587, -0.562, 0.000, 20.80
1, 0, -2.184, -0.000, 0.000, -0.770, -0.381, -1.815, 1.198, 6.967, -2.594, -0.420, -0.000, 20.83
1, 0, -2.231, -0.000, 0.000, -0.784, -0.398, -1.907, 1.120, 7.114, -2.742, -0.172, -0.000, 20.84
1, 0, -2.052, -0.000, 0.000, -0.718, -0.367, -1.767, 1.051, 5.645, -2.727, 0.935, 0.000, 20.78
1, 0, -1.706, -0.000, 0.000, -0.594, -0.305, -1.476, 0.989, 3.926, -2.695, 1.861, -0.000, 20.65
1, 0, -1.451, -0.000, 0.000, -0.502, -0.263, -1.282, 0.934, 3.770, -2.814, 1.610, -0.000, 20.55
1, 0, -1.251, -0.000, 0.000, -0.430, -0.231, -1.130, 0.883, 3.663, -2.937, 1.434, -0.000, 20.45
1, 0, -1.090, -0.000, 0.000, -0.372, -0.205, -1.007, 0.835, 3.582, -3.061, 1.318, 0.000, 20.36
1, 0, -0.957, -0.000, 0.000, -0.324, -0.183, -0.902, 0.792, 3.517, -3.188, 1.246, 0.000, 20.28
1, 0, -0.850, -0.000, 0.000, -0.285, -0.162, -0.803, 0.751, 3.463, -3.170, 1.057, -0.000, 20.21
1, 0, -0.766, -0.000, 0.000, -0.254, -0.148, -0.735, 0.712, 3.417, -3.300, 1.074, 0.000, 20.14
1, 0, -0.695, -0.000, 0.000, -0.227, -0.136, -0.678, 0.676, 3.446, -3.431, 1.045, -0.000, 20.07
1, 0, -0.632, -0.000, 0.000, -0.204, -0.123, -0.613, 0.693, 3.416, -3.416, 0.879, 0.000, 20.01
1, 0, -0.615, -0.000, 0.000, -0.196, -0.114, -0.548, 1.121, 3.389, -3.118, 0.080, -0.000, 20.00
1, 0, -1.287, -0.000, 0.000, -0.404, -0.209, -0.691, 7.010, 3.363, -2.762, -5.019, 0.000, 20.34
1, 0, -2.189, -0.000, 0.000, -0.683, -0.323, -0.917, 7.491, 3.339, -2.398, -4.321, -0.000, 20.63
1, 0, -2.387, -0.000, 0.000, -0.744, -0.355, -1.300, 4.374, 3.317, -2.264, -0.641, -0.000, 20.67
1, 0, -2.401, -0.000, 0.000, -0.754, -0.353, -1.277, 4.201, 3.296, -2.272, -0.440, 0.000, 20.70
