hci(W/m2K), hri(W/m2K), Taire interior(ºC), Tradiante interior(ºC), Carga sensible del espacio(W), hce(W/m2K), hre(W/m2K), Taire exterior(ºC), Tradiante exterior(ºC), Radiación Directa(W/m2), Radiación difusa(W/m2), Angulo Radiación Directa con la normal, Azimuth, Zenit, Caudal de aire (m3/s), Delta T ext-int (ºC)
2.00, 5.70, 19.60, 19.60, -1443.31, 20.00, 4.63, 2.22, -3.23, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.51, 19.51, -1173.11, 20.00, 4.63, 9.44, 4.78, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.47, 19.47, -1099.60, 20.00, 4.63, 11.67, 7.20, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.42, 19.42, -1142.11, 20.00, 4.63, 11.11, 6.60, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.35, 19.35, -1185.20, 20.00, 4.63, 10.56, 6.09, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.27, 19.27, -1228.90, 20.00, 4.63, 10.00, 5.49, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 19.20, 19.20, -1247.81, 20.00, 4.63, 10.00, 5.49, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1202.01, 20.00, 4.63, 9.44, 4.89, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1205.37, 20.00, 4.63, 9.44, 4.89, 0.00, 3.39, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -1102.03, 20.00, 4.63, 10.56, 5.99, 0.00, 37.28, 0.00, -51.34, 83.01, 0, 0
2.00, 5.70, 20.27, 20.27, -83.27, 20.00, 4.63, 11.67, 7.20, 15.42, 58.17, 87.75, -39.97, 74.87, 0, 0
2.00, 5.70, 20.47, 20.47, -41.26, 20.00, 4.63, 13.33, 8.82, 85.13, 90.63, 75.80, -27.02, 68.58, 0, 0
2.00, 5.70, 20.42, 20.42, -449.47, 20.00, 4.63, 13.89, 9.42, 38.18, 84.64, 63.37, -12.58, 64.72, 0, 0
2.00, 5.70, 20.27, 20.27, -677.68, 20.00, 4.63, 13.33, 8.82, 0.00, 57.61, 50.63, 2.71, 63.74, 0, 0
2.00, 5.70, 20.09, 20.09, -843.44, 20.00, 4.63, 12.22, 7.71, 0.00, 18.64, 37.75, 17.81, 65.77, 0, 0
2.00, 5.70, 20.00, 20.00, -815.88, 20.00, 4.63, 12.22, 7.71, 2.86, 40.22, 24.94, 31.77, 70.55, 0, 0
2.00, 5.70, 20.00, 20.00, -823.09, 20.00, 4.63, 12.22, 7.71, 22.40, 41.48, 12.93, 44.15, 77.56, 0, 0
2.00, 5.70, 20.00, 20.00, -918.61, 20.00, 4.63, 11.67, 7.10, 0.00, 15.25, 8.23, 55.01, 86.22, 0, 0
2.00, 5.70, 20.00, 20.00, -905.94, 20.00, 4.63, 11.11, 6.60, 0.00, 1.69, 0.00, 0.00, 90.00, 0, 0
2.00, 5.70, 20.00, 20.00, -727.11, 20.00, 4.63, 11.11, 6.60, 0.00, 0.00, 0.00, 0.00, 90.00, 0, 0
