Nombre espacio, Area(m2)
"P02_E01", 90.21
Horario Funcionamiento Equipo, Funcionamiento Real Equipo, Transmisión Muros Exteriores(W/m2 del espacio), Transmisión Muros Interiores(W/m2 del espacio), Transmisión Cubiertas(W/m2 del espacio), Transmisión Suelos(W/m2 del espacio), Transmisión Puentes Térmicos(W/m2 del espacio), Transmisión Ventanas(W/m2 del espacio), Radiación Ventanas(W/m2 del espacio), Fuentes internas(W/m2 del espacio), Carga de ventilación e infiltración(W/m2 del espacio), Energia Almacenada Aire(W/m2 del espacio), Carga Total(W/m2 del espacio), Temperatura aire (ºC)
1, 0, 0.067, 0.000, 0.000, 0.001, 0.012, 0.091, 1.376, 3.753, -5.299, 0.000, -0.000, 19.51
1, 0, -1.593, -0.001, 0.000, -0.017, -0.130, -1.786, 1.322, 3.639, -2.976, 1.542, 0.000, 19.41
1, 0, -1.526, -0.001, 0.000, -0.016, -0.113, -1.556, 1.271, 3.577, -2.282, 0.647, 0.000, 19.37
1, 0, -1.501, -0.001, 0.000, -0.016, -0.111, -1.532, 1.221, 3.536, -2.435, 0.838, 0.000, 19.31
1, 0, -1.442, -0.000, 0.000, -0.015, -0.108, -1.493, 1.173, 3.505, -2.586, 0.966, -0.000, 19.25
1, 0, -1.365, -0.000, 0.000, -0.015, -0.104, -1.442, 1.128, 3.476, -2.735, 1.058, 0.000, 19.18
1, 0, -1.291, -0.000, 0.000, -0.014, -0.098, -1.368, 1.084, 3.449, -2.716, 0.954, 0.000, 19.11
1, 1, -3.815, -0.002, 0.000, -0.041, -0.303, -4.124, 1.042, 3.493, -3.152, -13.285, -20.187, 20.00
1, 1, -3.763, -0.002, 0.000, -0.040, -0.299, -4.060, 1.078, 3.473, -3.152, 0.000, -6.765, 20.00
1, 1, -3.760, -0.001, 0.000, -0.040, -0.282, -3.736, 1.814, 3.452, -2.809, 0.000, -5.363, 20.00
1, 0, -4.824, -0.002, 0.000, -0.051, -0.298, -2.475, 10.474, 3.432, -2.542, -3.713, -0.000, 20.25
1, 0, -5.692, -0.002, 0.000, -0.061, -0.319, -2.383, 10.056, 3.412, -2.094, -2.917, 0.000, 20.44
1, 0, -4.996, -0.002, 0.000, -0.053, -0.299, -3.142, 5.771, 3.393, -1.902, 1.230, -0.000, 20.36
1, 0, -4.139, -0.001, 0.000, -0.044, -0.268, -3.218, 3.603, 3.375, -2.017, 2.709, -0.000, 20.18
1, 1, -3.462, -0.001, 0.000, -0.037, -0.243, -3.090, 2.526, 3.357, -2.300, 2.692, -0.558, 20.00
1, 1, -3.478, -0.001, 0.000, -0.037, -0.244, -3.067, 2.873, 3.598, -2.300, 0.000, -2.657, 20.00
1, 1, -3.462, -0.001, 0.000, -0.037, -0.243, -3.029, 3.108, 3.599, -2.300, 0.000, -2.365, 20.00
1, 1, -3.446, -0.001, 0.000, -0.037, -0.254, -3.281, 2.248, 3.595, -2.469, 0.000, -3.644, 20.00
1, 1, -3.434, -0.001, 0.000, -0.037, -0.262, -3.444, 1.847, 4.432, -2.639, 0.000, -3.537, 20.00
1, 1, -3.430, -0.001, 0.000, -0.037, -0.264, -3.483, 1.709, 6.589, -2.639, 0.000, -1.555, 20.00
1, 1, -3.434, -0.001, 0.000, -0.037, -0.270, -3.578, 1.628, 6.767, -2.809, 0.000, -1.733, 20.00
1, 1, -3.444, -0.001, 0.000, -0.037, -0.271, -3.605, 1.560, 6.888, -2.809, 0.000, -1.719, 20.00
1, 1, -3.458, -0.001, 0.000, -0.037, -0.277, -3.700, 1.498, 6.984, -2.980, 0.000, -1.971, 20.00
1, 0, -2.997, -0.001, 0.000, -0.032, -0.240, -3.215, 1.439, 5.479, -2.931, 2.496, 0.000, 19.83
