zone,city,country,latitude,longitude,elevation,time_zone,station_id
zonac_a1,A1_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_a2,A2_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_a3,A3_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_a4,A4_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_alfa1,alpha1_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_alfa2,alpha2_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_alfa3,alpha3_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_alfa4,alpha4_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_b1,B1_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_b2,B2_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_b3,B3_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_b4,B4_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_c1,C1_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_c2,C2_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_c3,C3_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_c4,C4_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_d1,D1_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_d2,D2_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_d3,D3_canarias,ESP,28.33,-16.37,30.0,0.0,
zonac_e1,E1_canarias,ESP,28.33,-16.37,30.0,0.0,
